Voltage [V],Capacitance [F],Conductivity [S],Bias Voltage [V],Pad Current [A],InverseCSquare,Ascending,Descending,Is Coarse
0.0,1.3252e-10,6.284952e-07,0.0,-3.675889e-07,5.694258065051022e+19,True,False,True
10.0,1.45013e-10,1.054422e-07,10.0,3.151835e-06,4.755389839555006e+19,True,False,True
20.0,1.06933e-10,8.718016e-08,20.0,4.35339e-06,8.745335956776588e+19,True,False,True
30.0,5.5546e-11,1.466982e-07,30.0,6.151153e-06,3.24111484762244e+20,True,False,True
35.0,3.97423e-11,1.213072e-07,35.0,7.399819e-06,6.331316223150833e+20,True,False,True
40.0,3.14157e-11,1.005982e-07,40.0,8.892845e-06,1.013226448842055e+21,True,False,True
45.0,2.64445e-11,8.712056e-08,45.0,1.063765e-05,1.4299777498929813e+21,True,False,True
50.0,2.27827e-11,7.456726e-08,50.0,1.24999e-05,1.926591398917433e+21,True,False,True
55.0,1.88715e-11,5.964486e-08,55.0,1.431032e-05,2.8079356915392347e+21,True,False,True
65.0,1.15339e-11,3.247926e-08,65.0,1.763902e-05,7.517053419853156e+21,True,False,True
65.0,1.15633e-11,3.221506e-08,65.0,1.76246e-05,7.478877394048868e+21,False,True,True
55.0,1.88551e-11,5.977396e-08,55.0,1.416607e-05,2.812822451338627e+21,False,True,True
50.0,2.28154e-11,7.458286e-08,50.0,1.241262e-05,1.921072811302253e+21,False,True,True
45.0,2.6516e-11,8.686266e-08,45.0,1.051797e-05,1.4222763197978973e+21,False,True,True
40.0,3.13987e-11,1.002322e-07,40.0,8.775703e-06,1.0143239154633564e+21,False,True,True
35.0,3.96961e-11,1.196732e-07,35.0,7.305582e-06,6.346062106268184e+20,False,True,True
30.0,5.5355e-11,1.458812e-07,30.0,6.050221e-06,3.263520084489924e+20,False,True,True
20.0,1.05666e-10,8.574226e-08,20.0,4.180583e-06,8.956317174758952e+19,False,True,True
10.0,1.42313e-10,1.034222e-07,10.0,2.975104e-06,4.937542563002491e+19,False,True,True
0.0,1.54841e-10,5.433192e-07,0.0,-4.428237e-07,4.170883554893385e+19,False,True,True
0.0,1.33134e-10,6.284342e-07,0.0,-3.697819e-07,5.641856541368276e+19,True,False,False
1.0,2.02942e-10,1.942112e-07,1.0,1.202488e-06,2.4280416257679528e+19,True,False,False
2.0,1.87928e-10,1.569662e-07,2.0,1.629354e-06,2.83150293597135e+19,True,False,False
3.0,1.78217e-10,1.401962e-07,3.0,1.928249e-06,3.1484858260924645e+19,True,False,False
4.0,1.70495e-10,1.297032e-07,4.0,2.16566e-06,3.4401446620048024e+19,True,False,False
5.0,1.64145e-10,1.224152e-07,5.0,2.364136e-06,3.711459137789202e+19,True,False,False
6.0,1.58491e-10,1.165852e-07,6.0,2.545436e-06,3.9809872696203665e+19,True,False,False
7.0,1.53389e-10,1.118272e-07,7.0,2.70759e-06,4.2502215379417874e+19,True,False,False
8.0,1.48907e-10,1.079502e-07,8.0,2.857071e-06,4.5099296961946935e+19,True,False,False
9.0,1.44717e-10,1.044242e-07,9.0,2.999078e-06,4.774862809836658e+19,True,False,False
10.0,1.40724e-10,1.013672e-07,10.0,3.138903e-06,5.049677674589918e+19,True,False,False
11.0,1.36891e-10,9.850236e-08,11.0,3.269469e-06,5.336422515467583e+19,True,False,False
12.0,1.33244e-10,9.631906e-08,12.0,3.391974e-06,5.632545081960339e+19,True,False,False
13.0,1.29663e-10,9.375586e-08,13.0,3.513727e-06,5.94795766550577e+19,True,False,False
14.0,1.26167e-10,9.171576e-08,14.0,3.634458e-06,6.282152098020098e+19,True,False,False
15.0,1.22728e-10,9.000246e-08,15.0,3.75516e-06,6.6391531379244515e+19,True,False,False
16.0,1.19167e-10,8.791356e-08,16.0,3.870631e-06,7.041869744680646e+19,True,False,False
17.0,1.15666e-10,8.608966e-08,17.0,3.985777e-06,7.474610491985353e+19,True,False,False
18.0,1.11955e-10,8.424446e-08,18.0,4.103023e-06,7.97834866058216e+19,True,False,False
19.0,1.08281e-10,8.283576e-08,19.0,4.21338e-06,8.528948345075193e+19,True,False,False
20.0,1.04247e-10,8.361886e-08,20.0,4.330722e-06,9.201801668340362e+19,True,False,False
21.0,9.9678e-11,9.155336e-08,21.0,4.452752e-06,1.0064712392845954e+20,True,False,False
22.0,9.482e-11,1.083042e-07,22.0,4.575852e-06,1.1122440676349388e+20,True,False,False
23.0,8.9723e-11,1.283202e-07,23.0,4.719165e-06,1.2422025812020842e+20,True,False,False
24.0,8.4225e-11,1.450742e-07,24.0,4.882596e-06,1.4096716337327727e+20,True,False,False
25.0,7.8337e-11,1.561432e-07,25.0,5.054137e-06,1.629544138698562e+20,True,False,False
26.0,7.2599e-11,1.606962e-07,26.0,5.244454e-06,1.89731186542084e+20,True,False,False
27.0,6.7292e-11,1.595552e-07,27.0,5.430508e-06,2.2083765531764054e+20,True,False,False
28.0,6.246e-11,1.555562e-07,28.0,5.638978e-06,2.5632799484145038e+20,True,False,False
29.0,5.819e-11,1.500842e-07,29.0,5.862058e-06,2.9532708966582295e+20,True,False,False
30.0,5.4405e-11,1.444492e-07,30.0,6.077915e-06,3.37848792242512e+20,True,False,False
31.0,5.0902e-11,1.388142e-07,31.0,6.305362e-06,3.859493437071124e+20,True,False,False
32.0,4.74456e-11,1.333042e-07,32.0,6.549998e-06,4.44230234777237e+20,True,False,False
33.0,4.4257e-11,1.279982e-07,33.0,6.794495e-06,5.1054738593767555e+20,True,False,False
34.0,4.14999e-11,1.231582e-07,34.0,7.047762e-06,5.806385944517507e+20,True,False,False
35.0,3.90845e-11,1.183782e-07,35.0,7.307725e-06,6.546224256572768e+20,True,False,False
35.5,3.80579e-11,1.159922e-07,35.5,7.465289e-06,6.904152231973297e+20,True,False,False
36.0,3.70787e-11,1.137502e-07,36.0,7.595212e-06,7.273626590848747e+20,True,False,False
36.5,3.62035e-11,1.117322e-07,36.5,7.742042e-06,7.629549295463013e+20,True,False,False
37.0,3.53209e-11,1.095012e-07,37.0,7.885656e-06,8.015608140877477e+20,True,False,False
37.5,3.4494e-11,1.074302e-07,37.5,8.016612e-06,8.404519360178465e+20,True,False,False
38.0,3.37559e-11,1.055942e-07,38.0,8.162812e-06,8.776080873785802e+20,True,False,False
38.5,3.29686e-11,1.037972e-07,38.5,8.325404e-06,9.200236454511656e+20,True,False,False
39.0,3.23517e-11,1.022452e-07,39.0,8.486412e-06,9.554452081253118e+20,True,False,False
39.5,3.16609e-11,1.004612e-07,39.5,8.633412e-06,9.975932177658861e+20,True,False,False
40.0,3.10498e-11,9.899606e-08,40.0,8.786272e-06,1.0372474737614873e+21,True,False,False
40.5,3.04211e-11,9.741516e-08,40.5,8.943456e-06,1.0805631990193261e+21,True,False,False
41.0,2.99173e-11,9.605846e-08,41.0,9.111335e-06,1.1172624611670368e+21,True,False,False
41.5,2.9381e-11,9.465206e-08,41.5,9.274774e-06,1.158422151693131e+21,True,False,False
42.0,2.88789e-11,9.342216e-08,42.0,9.443901e-06,1.199053900606212e+21,True,False,False
42.5,2.83572e-11,9.208616e-08,42.5,9.608057e-06,1.2435787935838338e+21,True,False,False
43.0,2.79423e-11,9.075966e-08,43.0,9.787239e-06,1.2807834225708803e+21,True,False,False
43.5,2.74686e-11,8.958336e-08,43.5,9.949494e-06,1.3253389138155426e+21,True,False,False
44.0,2.70612e-11,8.846466e-08,44.0,1.015438e-05,1.365544627639379e+21,True,False,False
44.5,2.66462e-11,8.717766e-08,44.5,1.0313e-05,1.408411081376563e+21,True,False,False
45.0,2.62662e-11,8.589246e-08,45.0,1.049346e-05,1.4494575687142518e+21,True,False,False
45.5,2.58514e-11,8.481306e-08,45.5,1.069755e-05,1.496345441202786e+21,True,False,False
46.0,2.54715e-11,8.372596e-08,46.0,1.085405e-05,1.5413134134789257e+21,True,False,False
46.5,2.51188e-11,8.261906e-08,46.5,1.104384e-05,1.5849013085086954e+21,True,False,False
47.0,2.47699e-11,8.137366e-08,47.0,1.123719e-05,1.6298644735153288e+21,True,False,False
47.5,2.43901e-11,8.014386e-08,47.5,1.140875e-05,1.6810198359755483e+21,True,False,False
48.0,2.4023e-11,7.907306e-08,48.0,1.160746e-05,1.7327883420578732e+21,True,False,False
48.5,2.36854e-11,7.781406e-08,48.5,1.178464e-05,1.782536998948113e+21,True,False,False
49.0,2.33387e-11,7.664206e-08,49.0,1.196416e-05,1.835890087318799e+21,True,False,False
49.5,2.30223e-11,7.546066e-08,49.5,1.21591e-05,1.8866988394971225e+21,True,False,False
50.0,2.26447e-11,7.420766e-08,50.0,1.23435e-05,1.9501447899128068e+21,True,False,False
50.5,2.23379e-11,7.290366e-08,50.5,1.254569e-05,2.0040812055194713e+21,True,False,False
51.0,2.19707e-11,7.144566e-08,51.0,1.272415e-05,2.0716300972057758e+21,True,False,False
51.5,2.16185e-11,7.027746e-08,51.5,1.289736e-05,2.1396802880833876e+21,True,False,False
52.0,2.124e-11,6.869216e-08,52.0,1.309223e-05,2.216618610375194e+21,True,False,False
52.5,2.08813e-11,6.724066e-08,52.5,1.327884e-05,2.293427069468668e+21,True,False,False
53.0,2.04991e-11,6.582016e-08,53.0,1.344774e-05,2.3797449391092437e+21,True,False,False
53.5,2.00978e-11,6.429336e-08,53.5,1.362706e-05,2.4757281785539634e+21,True,False,False
54.0,1.96987e-11,6.292336e-08,54.0,1.380122e-05,2.577062003041978e+21,True,False,False
54.5,1.93054e-11,6.116366e-08,54.5,1.399789e-05,2.68313417614468e+21,True,False,False
55.0,1.88847e-11,5.983186e-08,55.0,1.418634e-05,2.804011689845213e+21,True,False,False
56.0,1.80932e-11,5.682156e-08,56.0,1.458345e-05,3.0547046941728655e+21,True,False,False
57.0,1.72548e-11,5.389136e-08,57.0,1.490944e-05,3.358769033268816e+21,True,False,False
58.0,1.64646e-11,5.060766e-08,58.0,1.524254e-05,3.688906364094162e+21,True,False,False
59.0,1.5624e-11,4.755316e-08,59.0,1.55836e-05,4.096524338335944e+21,True,False,False
60.0,1.48645e-11,4.481606e-08,60.0,1.591191e-05,4.5258420096826747e+21,True,False,False
61.0,1.41495e-11,4.214756e-08,61.0,1.625448e-05,4.994796664331437e+21,True,False,False
62.0,1.34314e-11,3.937906e-08,62.0,1.657938e-05,5.543160249790136e+21,True,False,False
63.0,1.28033e-11,3.713436e-08,63.0,1.688467e-05,6.100369716389972e+21,True,False,False
64.0,1.21764e-11,3.468206e-08,64.0,1.720681e-05,6.744693009259835e+21,True,False,False
65.0,1.16258e-11,3.284836e-08,65.0,1.749957e-05,7.398681039084414e+21,True,False,False
65.0,1.16552e-11,3.280206e-08,65.0,1.749397e-05,7.361402077562456e+21,False,True,False
64.0,1.21746e-11,3.472566e-08,64.0,1.71916e-05,6.746687546228928e+21,False,True,False
63.0,1.28553e-11,3.709636e-08,63.0,1.689654e-05,6.051117245342872e+21,False,True,False
62.0,1.34416e-11,3.931576e-08,62.0,1.653489e-05,5.534750717873993e+21,False,True,False
61.0,1.42131e-11,4.217876e-08,61.0,1.623452e-05,4.950195792770075e+21,False,True,False
60.0,1.49253e-11,4.493186e-08,60.0,1.589687e-05,4.489043992523344e+21,False,True,False
59.0,1.56886e-11,4.794966e-08,59.0,1.555932e-05,4.062857773376452e+21,False,True,False
58.0,1.65468e-11,5.079686e-08,58.0,1.52034e-05,3.652346433983844e+21,False,True,False
57.0,1.73207e-11,5.385766e-08,57.0,1.486115e-05,3.333259462859312e+21,False,True,False
56.0,1.81931e-11,5.710546e-08,56.0,1.45462e-05,3.021249466170258e+21,False,True,False
55.0,1.89628e-11,5.995916e-08,55.0,1.415365e-05,2.780962104221411e+21,False,True,False
54.5,1.94424e-11,6.168476e-08,54.5,1.396715e-05,2.645454231170735e+21,False,True,False
54.0,1.98343e-11,6.346266e-08,54.0,1.380361e-05,2.541945555599464e+21,False,True,False
53.5,2.02745e-11,6.476676e-08,53.5,1.36262e-05,2.432762399009791e+21,False,True,False
53.0,2.061e-11,6.636666e-08,53.0,1.344394e-05,2.3542035835216108e+21,False,True,False
52.5,2.10019e-11,6.781766e-08,52.5,1.32299e-05,2.267163428965779e+21,False,True,False
52.0,2.14085e-11,6.919226e-08,52.0,1.305535e-05,2.1818632206321868e+21,False,True,False
51.5,2.17613e-11,7.076116e-08,51.5,1.287124e-05,2.1116907993041176e+21,False,True,False
51.0,2.21182e-11,7.214936e-08,51.0,1.267427e-05,2.0440919996453214e+21,False,True,False
50.5,2.24783e-11,7.340146e-08,50.5,1.248121e-05,1.979124311981833e+21,False,True,False
50.0,2.28514e-11,7.470186e-08,50.0,1.230204e-05,1.9150246790122785e+21,False,True,False
49.5,2.31751e-11,7.612766e-08,49.5,1.214213e-05,1.8619017769755604e+21,False,True,False
49.0,2.35632e-11,7.720926e-08,49.0,1.194109e-05,1.8010736026265848e+21,False,True,False
48.5,2.38827e-11,7.842036e-08,48.5,1.173628e-05,1.7532068278513188e+21,False,True,False
48.0,2.42354e-11,7.959066e-08,48.0,1.156563e-05,1.702548984198737e+21,False,True,False
47.5,2.45883e-11,8.078746e-08,47.5,1.139018e-05,1.6540285189978055e+21,False,True,False
47.0,2.49329e-11,8.204696e-08,47.0,1.118632e-05,1.6086235026702627e+21,False,True,False
46.5,2.53012e-11,8.298946e-08,46.5,1.097814e-05,1.5621321143722679e+21,False,True,False
46.0,2.56935e-11,8.433956e-08,46.0,1.08059e-05,1.5147936055710022e+21,False,True,False
45.5,2.61163e-11,8.561766e-08,45.5,1.063705e-05,1.4661442535496514e+21,False,True,False
45.0,2.64722e-11,8.669396e-08,45.0,1.044737e-05,1.4269867132658089e+21,False,True,False
44.5,2.68813e-11,8.793156e-08,44.5,1.028195e-05,1.3838832875307228e+21,False,True,False
44.0,2.7303e-11,8.903736e-08,44.0,1.009902e-05,1.3414647399031536e+21,False,True,False
43.5,2.77518e-11,9.024446e-08,43.5,9.895411e-06,1.2984274430861532e+21,False,True,False
43.0,2.81912e-11,9.154836e-08,43.0,9.743195e-06,1.258267196990844e+21,False,True,False
42.5,2.86641e-11,9.268256e-08,42.5,9.55673e-06,1.2170919205487014e+21,False,True,False
42.0,2.91514e-11,9.392736e-08,42.0,9.406043e-06,1.1767417621999602e+21,False,True,False
41.5,2.96496e-11,9.534666e-08,41.5,9.214062e-06,1.1375285947024014e+21,False,True,False
41.0,3.01859e-11,9.673296e-08,41.0,9.040106e-06,1.0974676869362655e+21,False,True,False
40.5,3.07865e-11,9.816496e-08,40.5,8.887189e-06,1.0550653567897676e+21,False,True,False
40.0,3.13726e-11,9.966846e-08,40.0,8.728084e-06,1.0160123229572674e+21,False,True,False
39.5,3.20402e-11,1.013212e-07,39.5,8.556424e-06,9.741135025140112e+20,False,True,False
39.0,3.27031e-11,1.030612e-07,39.0,8.41633e-06,9.350227015233706e+20,False,True,False
38.5,3.33943e-11,1.047072e-07,38.5,8.251365e-06,8.967168101745426e+20,False,True,False
38.0,3.41507e-11,1.067022e-07,38.0,8.1233e-06,8.574341565634618e+20,False,True,False
37.5,3.49655e-11,1.084262e-07,37.5,7.965216e-06,8.179382426980589e+20,False,True,False
37.0,3.57973e-11,1.104532e-07,37.0,7.828736e-06,7.803680089998885e+20,False,True,False
36.5,3.66786e-11,1.124672e-07,36.5,7.684467e-06,7.433177418842288e+20,False,True,False
36.0,3.76058e-11,1.148032e-07,36.0,7.532681e-06,7.07115465659754e+20,False,True,False
35.5,3.86226e-11,1.172272e-07,35.5,7.402506e-06,6.70373730264736e+20,False,True,False
35.0,3.97247e-11,1.192602e-07,35.0,7.254916e-06,6.336927636215081e+20,False,True,False
34.0,4.22379e-11,1.240102e-07,34.0,6.987194e-06,5.605254870446791e+20,False,True,False
33.0,4.51209e-11,1.290562e-07,33.0,6.740374e-06,4.9118431796954215e+20,False,True,False
32.0,4.83768e-11,1.342792e-07,32.0,6.486482e-06,4.272929476401613e+20,False,True,False
31.0,5.1828e-11,1.401672e-07,31.0,6.244711e-06,3.7228119543530363e+20,False,True,False
30.0,5.5437e-11,1.461812e-07,30.0,6.03185e-06,3.2538727107362685e+20,False,True,False
29.0,5.9326e-11,1.515832e-07,29.0,5.800417e-06,2.8412527242826118e+20,False,True,False
28.0,6.3787e-11,1.570412e-07,28.0,5.590871e-06,2.4577383479461174e+20,False,True,False
27.0,6.8621e-11,1.604582e-07,27.0,5.386923e-06,2.123664536290572e+20,False,True,False
26.0,7.3902e-11,1.601612e-07,26.0,5.18465e-06,1.8309969310799593e+20,False,True,False
25.0,7.9642e-11,1.538372e-07,25.0,5.00717e-06,1.5765788083588124e+20,False,True,False
24.0,8.5333e-11,1.407932e-07,24.0,4.830263e-06,1.3733017445239241e+20,False,True,False
23.0,9.0697e-11,1.223752e-07,23.0,4.666975e-06,1.2156656793263833e+20,False,True,False
22.0,9.5824e-11,1.021002e-07,22.0,4.528289e-06,1.0890590003306838e+20,False,True,False
21.0,1.00583e-10,8.765846e-08,21.0,4.41367e-06,9.884411798149412e+19,False,True,False
20.0,1.04951e-10,8.270446e-08,20.0,4.287736e-06,9.078766322661427e+19,False,True,False
19.0,1.08799e-10,8.305776e-08,19.0,4.183729e-06,8.447927783425955e+19,False,True,False
18.0,1.12427e-10,8.467856e-08,18.0,4.06881e-06,7.911498603787942e+19,False,True,False
17.0,1.16039e-10,8.652336e-08,17.0,3.949218e-06,7.426634402201097e+19,False,True,False
16.0,1.19488e-10,8.825046e-08,16.0,3.833459e-06,7.0040851320929665e+19,False,True,False
15.0,1.22922e-10,9.007076e-08,15.0,3.725507e-06,6.618213365910171e+19,False,True,False
14.0,1.26199e-10,9.188616e-08,14.0,3.601014e-06,6.2789665992456995e+19,False,True,False
13.0,1.29606e-10,9.392636e-08,13.0,3.484988e-06,5.953190573542117e+19,False,True,False
12.0,1.32991e-10,9.602336e-08,12.0,3.359678e-06,5.653995997990022e+19,False,True,False
11.0,1.36432e-10,9.843306e-08,11.0,3.23279e-06,5.372389711423626e+19,False,True,False
10.0,1.39929e-10,1.009682e-07,10.0,3.09883e-06,5.107219682744824e+19,False,True,False
9.0,1.43752e-10,1.038852e-07,9.0,2.970225e-06,4.839184814185259e+19,False,True,False
8.0,1.47546e-10,1.070352e-07,8.0,2.823578e-06,4.593514796177585e+19,False,True,False
7.0,1.5173e-10,1.107472e-07,7.0,2.673579e-06,4.343672610549715e+19,False,True,False
6.0,1.56223e-10,1.149432e-07,6.0,2.516677e-06,4.09741594460227e+19,False,True,False
5.0,1.61266e-10,1.201022e-07,5.0,2.337751e-06,3.8451596126978e+19,False,True,False
4.0,1.66952e-10,1.269022e-07,4.0,2.139474e-06,3.587705182093535e+19,False,True,False
3.0,1.73616e-10,1.361632e-07,3.0,1.902408e-06,3.3175731516493107e+19,False,True,False
2.0,1.82217e-10,1.510662e-07,2.0,1.605516e-06,3.01177286148547e+19,False,True,False
1.0,1.95908e-10,1.855352e-07,1.0,1.186839e-06,2.6055274804735316e+19,False,True,False
0.0,1.34348e-10,6.196052e-07,0.0,-3.716932e-07,5.540354944160319e+19,False,True,False
