tag1,tag2,gainLayerDepletionVoltage,fullDepletionVoltage
allData,allData,39.49298394471841,78.34081122390744
ascending,ascending,39.47711530045934,78.21353596084808
descending,descending,39.50884900590785,78.26056591965406
