Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
0.0,	1.596101e-11,	1.1361428752538518e-11,	-7.835939e-13,	3.4412199611717276e-11
5.0,	1.099938e-09,	1.3235938997334453e-11,	-5.418086e-12,	6.993388394803585e-11
10.0,	1.492053e-09,	2.34240378966362e-11,	-1.550979e-11,	4.557742617728864e-11
15.0,	2.117262e-09,	1.2191123809461038e-11,	-3.409848e-11,	3.233153416886468e-11
20.0,	3.063761e-09,	9.173226110047413e-12,	-6.743685e-11,	3.526701813778547e-11
25.0,	4.559001e-09,	3.004609569678372e-11,	-1.227099e-10,	3.259182862254251e-11
30.0,	7.210751e-09,	6.083407859120596e-12,	-2.217119e-10,	5.963344328617473e-11
32.0,	8.832473e-09,	1.3683075275692323e-11,	-2.866531e-10,	3.329266373644022e-11
34.0,	1.111252e-08,	7.521056640991156e-12,	-3.737939e-10,	2.5206857422319076e-11
36.0,	1.421259e-08,	1.0772668385935006e-11,	-4.973919e-10,	4.758394390211381e-11
38.0,	1.858456e-08,	1.9121114129830528e-11,	-6.72523e-10,	3.5350818681295854e-11
40.0,	2.492864e-08,	8.129657522954689e-11,	-9.231361e-10,	2.2158094580339532e-11
42.0,	3.400321e-08,	5.98215582404114e-11,	-1.2874e-09,	1.593930286737043e-11
44.0,	4.727888e-08,	5.931343076044324e-11,	-1.820532e-09,	6.9062835448948226e-12
46.0,	6.662476e-08,	7.878856781249013e-11,	-2.600141e-09,	2.8936191839646964e-13
48.0,	8.52343e-08,	9.597580227961518e-11,	-3.34886e-09,	4.340260386300195e-13
50.0,	8.732127e-08,	7.410016790543587e-11,	-3.428434e-09,	3.475375567249419e-13
52.0,	8.885507e-08,	2.1840204914278037e-11,	-3.487154e-09,	1.3856084069656113e-12
54.0,	9.03005e-08,	6.770102069591938e-11,	-3.540978e-09,	3.777733904492842e-13
56.0,	9.165319e-08,	8.463908755767161e-11,	-3.595276e-09,	3.1815713782707647e-13
58.0,	9.310347e-08,	7.952926794723837e-11,	-3.650376e-09,	4.168225981083413e-13
60.0,	9.460883e-08,	7.019411271101099e-11,	-3.706806e-09,	3.24171156158346e-13
70.0,	1.027709e-07,	3.334198031258939e-10,	-4.012859e-09,	6.499959233777335e-13
80.0,	1.122319e-07,	3.3975002668623787e-10,	-4.353571e-09,	5.737206146998548e-13
90.0,	1.234644e-07,	3.4342453934663273e-10,	-4.734395e-09,	8.834698437542581e-13
100.0,	1.379925e-07,	3.5059095259764586e-10,	-5.164944e-09,	7.829034625321643e-13
110.0,	1.585807e-07,	3.778784000678391e-10,	-5.651836e-09,	6.408455306893139e-13
120.0,	1.905261e-07,	5.208566618465418e-10,	-6.207359e-09,	6.788240408561078e-13
130.0,	2.420802e-07,	5.669681450672041e-10,	-6.844028e-09,	5.875697997231197e-13
140.0,	3.316526e-07,	8.186504106943371e-10,	-7.581789e-09,	4.34528599827587e-13
150.0,	4.774046e-07,	1.5216780934389677e-09,	-8.443704e-09,	5.752881102750886e-13
