Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
0.0,	-1.870831e-11,	2.293056378407993e-11,	-3.275147e-13,	5.126206676353184e-11
5.0,	1.191847e-09,	4.20395202500203e-11,	-7.168791e-12,	4.607581469754345e-11
10.0,	1.492028e-09,	1.8733815415851774e-11,	-2.315727e-11,	1.537887065467643e-11
15.0,	2.23109e-09,	3.991265906844708e-11,	-3.69544e-11,	2.3653288339447153e-11
20.0,	3.211447e-09,	1.0113950738512817e-11,	-7.106209e-11,	5.821605198056355e-11
25.0,	4.74033e-09,	2.855615569203503e-11,	-1.285899e-10,	5.0585963668339154e-11
30.0,	7.42728e-09,	1.566614382470315e-11,	-2.334356e-10,	7.081294545597079e-12
32.0,	9.120346e-09,	1.2348268132612463e-11,	-2.984495e-10,	4.402720727956976e-11
34.0,	1.142604e-08,	8.344689603585135e-12,	-3.895169e-10,	4.151774470182288e-11
36.0,	1.463048e-08,	2.2453317180020386e-11,	-5.162727e-10,	1.891729786524893e-11
38.0,	1.911075e-08,	1.1876076675481755e-11,	-6.959819e-10,	3.275385673496111e-11
40.0,	2.558313e-08,	7.696492187405081e-11,	-9.528447e-10,	2.6245065081246127e-11
42.0,	3.490785e-08,	6.598315871911919e-11,	-1.32694e-09,	2.1192720918551846e-11
44.0,	4.849666e-08,	7.489306876106634e-11,	-1.873798e-09,	1.3823829912793551e-11
46.0,	6.835462e-08,	7.697633720385454e-11,	-2.672369e-09,	1.8359102068865206e-13
48.0,	8.73504e-08,	7.508699750875649e-11,	-3.43095e-09,	6.237150440873945e-13
50.0,	8.948307e-08,	7.819803182911227e-11,	-3.511344e-09,	3.916180643722128e-13
52.0,	9.097135e-08,	1.7290644541094943e-11,	-3.570027e-09,	1.684628264742746e-12
54.0,	9.238688e-08,	7.310566243123131e-11,	-3.624171e-09,	4.5216828768562995e-13
56.0,	9.38357e-08,	8.46953793335015e-11,	-3.678701e-09,	4.717303736808823e-13
58.0,	9.524963e-08,	7.604037899923581e-11,	-3.734629e-09,	4.021457015579359e-13
60.0,	9.67138e-08,	8.164697324884014e-11,	-3.790864e-09,	3.828604178590726e-13
70.0,	1.050287e-07,	3.520076383197043e-10,	-4.101975e-09,	7.144756479196756e-13
80.0,	1.145157e-07,	3.3972745983855464e-10,	-4.447765e-09,	8.492494538350721e-13
90.0,	1.258523e-07,	3.528974680804625e-10,	-4.835808e-09,	9.464337860079891e-13
100.0,	1.402863e-07,	3.6809303634417676e-10,	-5.272546e-09,	7.644528439546503e-13
110.0,	1.602192e-07,	3.8599419195555695e-10,	-5.766042e-09,	1.0459146612121008e-12
120.0,	1.90661e-07,	4.433654870658759e-10,	-6.329145e-09,	8.942411438612213e-13
130.0,	2.388934e-07,	6.192255290012206e-10,	-6.976097e-09,	9.414950714076935e-13
140.0,	3.204496e-07,	9.007803750100503e-10,	-7.723146e-09,	1.0209617453391403e-12
150.0,	4.561411e-07,	1.390326792015788e-09,	-8.596658e-09,	9.999431078890615e-13
