Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
0.0,	-1.687924e-11,	2.204258592770488e-11,	-2.712137e-12,	3.741085312730815e-13
5.0,	1.191975e-09,	3.8230752770064846e-11,	-2.943926e-11,	2.208106649626885e-12
10.0,	1.630678e-09,	5.825866024660316e-11,	-6.439985e-11,	1.6879080460640502e-12
15.0,	2.35111e-09,	4.2821166208566575e-11,	-1.409958e-10,	1.2715153155065803e-08
20.0,	3.379566e-09,	6.199071991538799e-11,	-2.699984e-10,	1.656293410270031e-12
25.0,	5.287119e-09,	8.027370453534746e-11,	-4.876811e-10,	8.782438241451873e-13
30.0,	7.632783e-09,	8.320092634673647e-11,	-8.842922e-10,	9.419742192192767e-13
32.0,	9.356175e-09,	5.574455994035272e-11,	-1.136736e-09,	3.2611567499512387e-12
34.0,	1.14455e-08,	5.332817015819095e-11,	-1.484374e-09,	2.280314520786436e-12
36.0,	1.418251e-08,	2.2940305050700936e-11,	-1.968897e-09,	9.205587648068537e-12
38.0,	1.832369e-08,	5.960776187473808e-11,	-2.660741e-09,	1.4296807704256434e-12
40.0,	2.430585e-08,	5.2823516504323734e-11,	-3.65083e-09,	3.6729039265939757e-13
42.0,	3.276242e-08,	2.8370664189735025e-10,	-5.086395e-09,	2.0236782536392343e-12
44.0,	4.457254e-08,	4.1335816372007666e-10,	-7.184931e-09,	2.3042791062938346e-12
46.0,	6.150998e-08,	4.0843132955693754e-10,	-1.02564e-08,	3.393828429862038e-12
48.0,	7.805321e-08,	2.382512882927619e-10,	-1.32337e-08,	4.332742009832874e-12
50.0,	8.035646e-08,	2.230013620199157e-10,	-1.355203e-08,	1.4203494542042963e-12
52.0,	8.187961e-08,	6.936269459972507e-11,	-1.378056e-08,	4.918885949291742e-12
54.0,	8.416963e-08,	2.2127943589869108e-10,	-1.399152e-08,	1.7167243313643693e-12
56.0,	8.613549e-08,	2.2188721888158897e-10,	-1.420402e-08,	1.5707335907160392e-12
58.0,	8.813141e-08,	2.247987197984925e-10,	-1.442079e-08,	1.6648643615586207e-12
60.0,	9.023786e-08,	2.2972538425740508e-10,	-1.464097e-08,	1.520865739479871e-12
70.0,	1.021575e-07,	4.721882882848875e-10,	-1.583989e-08,	6.018444837693603e-12
80.0,	1.176225e-07,	4.161607819845092e-10,	-1.717681e-08,	6.465523079228108e-12
90.0,	1.388578e-07,	4.448913836105131e-10,	-1.867468e-08,	6.636563875833636e-12
100.0,	1.709203e-07,	5.023528855300794e-10,	-2.038383e-08,	3.1354551888141478e-12
110.0,	2.218335e-07,	5.183181092251306e-10,	-2.229735e-08,	2.494289285924022e-12
120.0,	2.972965e-07,	2.0777185871556707e-09,	-2.447877e-08,	2.6269119210281793e-12
130.0,	3.960431e-07,	2.51894795885136e-09,	-2.699018e-08,	2.133344102533576e-12
140.0,	5.519718e-07,	3.1251774859224185e-09,	-2.989583e-08,	2.33114812355551e-12
150.0,	7.753241e-07,	4.9715523320174965e-09,	-3.329298e-08,	2.5158703633203185e-12
