Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
0.0,	-2.912386e-11,	4.045674637942176e-11,	5.230668e-13,	3.897690262021377e-11
5.0,	1.185711e-09,	3.286947186579355e-11,	-8.276524e-12,	6.761247693875334e-11
10.0,	1.633715e-09,	2.0503030584469993e-11,	-1.610352e-11,	1.489884157241384e-11
15.0,	2.301294e-09,	2.0478628664210748e-11,	-3.585214e-11,	2.3894697188278594e-11
20.0,	3.310311e-09,	1.7665433053514442e-11,	-6.797674e-11,	1.339257811790172e-11
25.0,	4.918442e-09,	1.2696417800031595e-11,	-1.259002e-10,	3.22704216322669e-11
30.0,	7.688794e-09,	2.0043287499433324e-11,	-2.260799e-10,	6.326764161151602e-11
32.0,	9.427227e-09,	1.6400491960612906e-11,	-2.919307e-10,	3.636583745545199e-11
34.0,	1.182808e-08,	2.2323965754597334e-11,	-3.804839e-10,	1.603170213951481e-11
36.0,	1.516157e-08,	7.160139680791537e-12,	-5.048228e-10,	3.83571157055648e-11
38.0,	1.984305e-08,	6.776791939563264e-11,	-6.804906e-10,	2.073354381023843e-11
40.0,	2.643331e-08,	7.33630798109077e-11,	-9.326311e-10,	3.5406295041615473e-11
42.0,	3.60477e-08,	7.770098752091406e-11,	-1.299258e-09,	2.402424513405977e-11
44.0,	5.008563e-08,	9.012944914519006e-11,	-1.834672e-09,	1.5907941372058757e-11
46.0,	7.055714e-08,	7.161109306586197e-11,	-2.617208e-09,	2.874809619354508e-13
48.0,	9.007042e-08,	8.52731356566898e-11,	-3.379768e-09,	6.114211547151043e-13
50.0,	9.224749e-08,	7.597861745548361e-11,	-3.460402e-09,	3.600372429347782e-13
52.0,	9.378368e-08,	3.0116464123495296e-11,	-3.517638e-09,	1.8686903724353047e-12
54.0,	9.520932e-08,	8.858305092244091e-11,	-3.570774e-09,	3.849993820807751e-13
56.0,	9.667651e-08,	8.258634804478571e-11,	-3.624594e-09,	4.2991331791153267e-13
58.0,	9.81954e-08,	7.596738908786423e-11,	-3.679761e-09,	3.789352368461303e-13
60.0,	9.973571e-08,	8.378627336156195e-11,	-3.735114e-09,	3.6366547456683677e-13
70.0,	1.082665e-07,	3.2247900665929936e-10,	-4.041352e-09,	8.721655840217752e-13
80.0,	1.179787e-07,	3.5588807076297225e-10,	-4.382067e-09,	8.779139909552849e-13
90.0,	1.296567e-07,	3.5247515440013134e-10,	-4.763206e-09,	7.716483003127028e-13
100.0,	1.445489e-07,	3.7404851305279204e-10,	-5.192997e-09,	8.226382806350069e-13
110.0,	1.65225e-07,	4.019699610944389e-10,	-5.680098e-09,	7.295222452143544e-13
120.0,	1.967298e-07,	4.97396291341863e-10,	-6.234491e-09,	8.885891725253923e-13
130.0,	2.461778e-07,	4.360128483955758e-10,	-6.870577e-09,	1.041883954709506e-12
140.0,	3.31772e-07,	6.922827834384115e-10,	-7.605982e-09,	9.483407571373974e-13
150.0,	4.733112e-07,	1.8536976530492826e-09,	-8.466325e-09,	8.164859680729441e-13
