Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
0.0,	-2.159743e-11,	4.948770812128055e-11,	-4.185188e-13,	4.5554153009082094e-11
5.0,	1.191226e-09,	3.5375598690916504e-11,	-6.991966e-12,	5.467188530547822e-12
10.0,	1.57371e-09,	2.202569289392649e-11,	-1.868973e-11,	2.4976289256798e-11
15.0,	2.247671e-09,	3.402383872611784e-11,	-3.618903e-11,	2.240804768660796e-11
20.0,	3.235216e-09,	2.464139525345025e-11,	-7.080159e-11,	1.9901664114463374e-11
25.0,	4.788415e-09,	1.9989329177212484e-11,	-1.271964e-10,	1.6664046553961754e-11
30.0,	7.573092e-09,	1.3985993358222677e-11,	-2.271869e-10,	2.597284808013673e-11
32.0,	9.240254e-09,	1.3961725706504585e-11,	-2.949005e-10,	3.4947226561185217e-11
34.0,	1.159827e-08,	2.034580832766182e-11,	-3.84385e-10,	3.118429998005008e-11
36.0,	1.481941e-08,	1.8089371741836273e-11,	-5.09478e-10,	4.77320915406643e-11
38.0,	1.936623e-08,	2.1142429683357105e-11,	-6.866412e-10,	3.8146438524933273e-11
40.0,	2.590129e-08,	6.567154484716061e-11,	-9.404076e-10,	4.9393640084620613e-11
42.0,	3.531462e-08,	5.619233297504256e-11,	-1.309693e-09,	1.7221832072654563e-11
44.0,	4.907999e-08,	5.634105725204053e-11,	-1.849114e-09,	1.2772122450225293e-11
46.0,	6.919703e-08,	7.555599300465148e-11,	-2.636748e-09,	2.846666201870445e-13
48.0,	8.836653e-08,	7.997715513515521e-11,	-3.379999e-09,	6.232900436524792e-13
50.0,	9.044486e-08,	7.64829698745577e-11,	-3.458885e-09,	4.157239781785708e-13
52.0,	9.199705e-08,	4.1823558061691275e-11,	-3.515243e-09,	1.6785681700730351e-12
54.0,	9.338022e-08,	7.635499329515189e-11,	-3.568566e-09,	4.102501985437487e-13
56.0,	9.484307e-08,	9.208238658818108e-11,	-3.621699e-09,	4.5456434335763216e-13
58.0,	9.627892e-08,	9.939199173744631e-11,	-3.675675e-09,	4.5175122497910417e-13
60.0,	9.778748e-08,	8.149751652758039e-11,	-3.731791e-09,	4.252968521561525e-13
70.0,	1.061482e-07,	3.438490608217219e-10,	-4.03639e-09,	1.0785496801139933e-12
80.0,	1.157667e-07,	3.5158571892772126e-10,	-4.376321e-09,	1.0292201044119572e-12
90.0,	1.272726e-07,	3.4690730300533355e-10,	-4.755905e-09,	1.062942189393245e-12
100.0,	1.419932e-07,	3.473504317765387e-10,	-5.183866e-09,	1.095688970606326e-12
110.0,	1.621634e-07,	4.0945737013263435e-10,	-5.6679e-09,	9.12247483515898e-13
120.0,	1.931369e-07,	5.025499665286175e-10,	-6.220305e-09,	1.0635568194732787e-12
130.0,	2.429225e-07,	4.4715434937742204e-10,	-6.852486e-09,	1.2047887168381443e-12
140.0,	3.276333e-07,	9.299422609652235e-10,	-7.58361e-09,	1.2470343190372412e-12
150.0,	4.663262e-07,	1.9839256080696445e-09,	-8.43893e-09,	1.2493110832636772e-12
