Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
0.0,	-1.399009e-11,	9.393107658463082e-12,	-2.288155e-12,	4.802661641748358e-13
5.0,	1.176368e-09,	6.163630884383758e-11,	-2.05941e-11,	6.706558116939141e-11
10.0,	1.612382e-09,	1.631870438907207e-11,	-5.114266e-11,	1.0333034522975164e-10
15.0,	2.274708e-09,	1.3659588347436247e-11,	-1.101642e-10,	7.217228666214237e-11
20.0,	3.249813e-09,	9.031055707544598e-12,	-2.155766e-10,	7.277382726204793e-11
25.0,	4.812475e-09,	3.101859599028043e-11,	-3.869029e-10,	1.82757161005066e-10
30.0,	7.536419e-09,	1.7286194627338955e-11,	-6.969547e-10,	3.501738431381276e-11
32.0,	9.285073e-09,	1.7389196552330608e-11,	-8.943196e-10,	1.960746691038389e-10
34.0,	1.159042e-08,	9.382647003253586e-12,	-1.13295e-09,	8.373619652814801e-11
36.0,	1.479176e-08,	3.154637401266553e-11,	-1.540298e-09,	3.041212184326709e-11
38.0,	1.936899e-08,	1.6998556913506983e-10,	-2.078986e-09,	1.900554923127374e-10
40.0,	2.589798e-08,	7.357991419088319e-11,	-2.846838e-09,	2.1510472060025632e-13
42.0,	3.526181e-08,	1.5692223516744216e-10,	-3.96316e-09,	2.199702746094873e-12
44.0,	4.901544e-08,	1.4550849679013942e-10,	-5.595001e-09,	2.3045407967857505e-12
46.0,	6.902639e-08,	1.8753249329106687e-10,	-7.981845e-09,	3.199881854184337e-12
48.0,	8.81932e-08,	7.551028612484282e-11,	-1.029069e-08,	3.809994170802423e-12
50.0,	9.020859e-08,	7.35007768563297e-11,	-1.053724e-08,	1.341565089323622e-12
52.0,	9.170073e-08,	5.836407671269458e-11,	-1.070908e-08,	4.339890185293073e-12
54.0,	9.310745e-08,	8.536476821972183e-11,	-1.087126e-08,	1.6926240923604047e-12
56.0,	9.452089e-08,	9.035781942040615e-11,	-1.103314e-08,	1.4615095397153957e-12
58.0,	9.599164e-08,	8.430492272433446e-11,	-1.119776e-08,	1.463758698451939e-12
60.0,	9.739195e-08,	8.129559483540359e-11,	-1.136662e-08,	1.381687260630276e-12
70.0,	1.057494e-07,	3.410096560639887e-10,	-1.229619e-08,	2.3841663898461977e-11
80.0,	1.153327e-07,	3.349803087767131e-10,	-1.333524e-08,	1.4143328286669913e-11
90.0,	1.268325e-07,	3.743599054995529e-10,	-1.449707e-08,	5.299370932819182e-11
100.0,	1.414834e-07,	3.801958197251032e-10,	-1.580103e-08,	6.1273930682784846e-12
110.0,	1.619571e-07,	3.7622844417748795e-10,	-1.727775e-08,	6.318248817088942e-12
120.0,	1.930803e-07,	4.419525556319994e-10,	-1.896242e-08,	6.848869803448219e-12
130.0,	2.434781e-07,	3.2846497999247496e-10,	-2.091947e-08,	3.584659225926454e-12
140.0,	3.313952e-07,	8.826319842214983e-10,	-2.316398e-08,	3.0539077852041632e-12
150.0,	4.759616e-07,	1.4394618735449778e-09,	-2.579263e-08,	3.1606916998501794e-12
