Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
0.0,	-3.854085e-11,	1.440455452780931e-11,	-5.491979e-13,	1.7594678358411137e-10
5.0,	1.228003e-09,	2.1539712089594723e-11,	-4.028776e-10,	3.1847483301795864e-11
10.0,	1.597312e-09,	3.710467467059326e-11,	-4.686825e-10,	2.706359838283928e-11
15.0,	2.260724e-09,	2.9369830473993674e-11,	-5.64058e-10,	2.5572623804702274e-11
20.0,	3.276172e-09,	2.2920251750612813e-11,	-6.715336e-10,	1.1087699199122896e-10
25.0,	4.863312e-09,	1.4403222977063895e-11,	-8.256094e-10,	4.0549849933245286e-11
30.0,	7.596641e-09,	1.8592236777391618e-11,	-1.066254e-09,	1.268557211691642e-10
32.0,	9.301717e-09,	1.0517183765523357e-11,	-1.203996e-09,	4.105790505375648e-11
34.0,	1.161798e-08,	3.7243696099573895e-11,	-1.397488e-09,	1.305932395860765e-11
36.0,	1.489163e-08,	1.2348557412174427e-11,	-1.660068e-09,	6.791394205956846e-11
38.0,	1.941373e-08,	2.347692867314869e-11,	-2.040445e-09,	3.084522660328034e-11
40.0,	2.603389e-08,	3.1387606017184266e-11,	-2.571021e-09,	3.6524408830970834e-13
42.0,	3.547489e-08,	6.498272843304968e-11,	-3.343313e-09,	1.4637053049009802e-12
44.0,	4.927096e-08,	6.440334411018291e-11,	-4.465625e-09,	1.8732062110525406e-12
46.0,	6.935347e-08,	7.398037205805706e-11,	-6.099761e-09,	2.429964002688146e-12
48.0,	8.860929e-08,	6.937301581962075e-11,	-7.673995e-09,	2.6649569132842777e-12
50.0,	9.067438e-08,	6.080247559386155e-11,	-7.853117e-09,	1.0248320546056134e-12
52.0,	9.220987e-08,	4.1697789494094753e-11,	-7.980002e-09,	3.703876688974565e-12
54.0,	9.367873e-08,	9.136852104167544e-11,	-8.101111e-09,	1.1270611174323527e-12
56.0,	9.513673e-08,	6.112820091211808e-11,	-8.222172e-09,	1.067389873211946e-12
58.0,	9.651686e-08,	6.797965551380808e-11,	-8.345822e-09,	9.911480519868213e-13
60.0,	9.803786e-08,	6.115198978857472e-11,	-8.471067e-09,	9.091335739194534e-13
70.0,	1.064121e-07,	3.0345054180424097e-10,	-9.173192e-09,	1.4380622128623916e-12
80.0,	1.160348e-07,	3.230378527856932e-10,	-9.950659e-09,	1.8449631285210478e-12
90.0,	1.274652e-07,	3.416256017947825e-10,	-1.081649e-08,	2.1812139594367794e-12
100.0,	1.421313e-07,	3.6975850936815396e-10,	-1.17887e-08,	2.184606303709755e-12
110.0,	1.623421e-07,	3.652256325386688e-10,	-1.288326e-08,	2.651126819066102e-12
120.0,	1.932548e-07,	4.5498484015218843e-10,	-1.412315e-08,	2.8472557807513405e-12
130.0,	2.42692e-07,	4.708949621743177e-10,	-1.554005e-08,	3.1713035490746612e-12
140.0,	3.278413e-07,	9.006702962494122e-10,	-1.714945e-08,	2.5370301449945122e-12
150.0,	4.668356e-07,	1.417115828561958e-09,	-1.903707e-08,	2.6444411013829288e-11
