Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
0.0,	-3.23463e-11,	3.431432873237406e-11,	-1.054395e-13,	4.9441084673231326e-11
5.0,	1.216227e-09,	3.940250967821824e-11,	-5.477379e-12,	1.734613382257799e-11
10.0,	1.676857e-09,	4.758738320207879e-12,	-1.786871e-11,	2.5618990604525618e-11
15.0,	2.399032e-09,	1.8129635131003236e-11,	-3.981483e-11,	2.3314238960344292e-11
20.0,	3.404639e-09,	2.8916266112158633e-11,	-7.788529e-11,	3.257930613104134e-11
25.0,	5.017871e-09,	3.3130029135459786e-11,	-1.38422e-10,	2.6968900477411775e-11
30.0,	7.808937e-09,	2.215151238523502e-11,	-2.534965e-10,	5.5560077770408305e-11
32.0,	9.511361e-09,	5.052113154158207e-11,	-3.260898e-10,	1.975803260445112e-11
34.0,	1.197643e-08,	5.636299469582592e-11,	-4.251022e-10,	1.8225024068460193e-11
36.0,	1.529374e-08,	2.9868587765712435e-11,	-5.620363e-10,	2.50911237000743e-11
38.0,	2.002232e-08,	5.803175455836371e-11,	-7.550107e-10,	3.345099487971905e-11
40.0,	2.67302e-08,	5.658914598221148e-11,	-1.03119e-09,	2.087861562469365e-11
42.0,	3.634821e-08,	8.693804427333338e-11,	-1.430473e-09,	2.1892941547504346e-11
44.0,	5.044769e-08,	6.898384402339392e-11,	-2.010533e-09,	1.5223947465853426e-11
46.0,	7.0966e-08,	5.871086408055548e-11,	-2.852506e-09,	4.0926321846042217e-13
48.0,	9.053015e-08,	8.598606969834722e-11,	-3.661583e-09,	7.405011582178429e-13
50.0,	9.265779e-08,	9.52599643765367e-11,	-3.760917e-09,	4.783207497189992e-13
52.0,	9.419141e-08,	3.4632843814324766e-11,	-3.835902e-09,	1.876319259078928e-12
54.0,	9.563217e-08,	6.206825722945893e-11,	-3.911078e-09,	7.662895058499376e-13
56.0,	9.706147e-08,	6.880685830547635e-11,	-3.989826e-09,	5.892586433571743e-13
58.0,	9.855791e-08,	7.144337502424843e-11,	-4.073279e-09,	1.0817552810096698e-12
60.0,	1.000426e-07,	8.086266625987082e-11,	-4.163046e-09,	6.628335144488331e-13
70.0,	1.085639e-07,	3.2336681642978905e-10,	-4.763437e-09,	2.7533321657481092e-12
80.0,	1.18321e-07,	3.305248350187489e-10,	-5.759575e-09,	6.092870113392232e-12
90.0,	1.299789e-07,	3.384369886670803e-10,	-7.674748e-09,	8.410096495303938e-12
100.0,	1.448467e-07,	3.6236816769502196e-10,	-1.159346e-08,	2.6196008400932976e-11
110.0,	1.65627e-07,	3.860237926960256e-10,	-1.997069e-08,	7.267001287131507e-11
120.0,	1.969782e-07,	5.23087765351247e-10,	-3.679995e-08,	3.0495510986809026e-10
130.0,	2.467303e-07,	4.934343209514577e-10,	-7.229861e-08,	3.887866751632737e-10
140.0,	3.331755e-07,	6.942884183353757e-10,	-1.389298e-07,	4.619765595559673e-10
150.0,	4.732148e-07,	1.6614162855567946e-09,	-2.536233e-07,	1.4167508407358676e-09
