Voltage [V],Capacitance [F],Conductivity [S],Bias Voltage [V],Pad Current [A],InverseCSquare,Ascending,Descending,Is Coarse
0.0,8.1209e-12,1.196321e-06,0.0,-1.522619e-07,1.5163228329559688e+22,True,False,True
10.0,1.07616e-11,8.611572e-07,10.0,3.153255e-06,8.634681221163758e+21,True,False,True
20.0,1.1039e-11,7.083862e-07,20.0,4.357128e-06,8.206170447691158e+21,True,False,True
30.0,8.8043e-12,4.155042e-07,30.0,6.131937e-06,1.2900612643373214e+22,True,False,True
35.0,7.7849e-12,3.147012e-07,35.0,7.40222e-06,1.650037914298939e+22,True,False,True
40.0,7.1525e-12,2.570452e-07,40.0,8.888079e-06,1.9547186970431582e+22,True,False,True
45.0,6.5764e-12,2.218872e-07,45.0,1.064575e-05,2.312190213448859e+22,True,False,True
50.0,5.8717e-12,1.895912e-07,50.0,1.250976e-05,2.900496083998325e+22,True,False,True
55.0,5.0975e-12,1.492302e-07,55.0,1.43737e-05,3.84844718763898e+22,True,False,True
65.0,4.3252e-12,7.585294e-08,65.0,1.770145e-05,5.3454911069031594e+22,True,False,True
65.0,4.3252e-12,7.599354e-08,65.0,1.771205e-05,5.3454911069031594e+22,False,True,True
55.0,5.0813e-12,1.487432e-07,55.0,1.415268e-05,3.873025239367977e+22,False,True,True
50.0,5.8733e-12,1.897962e-07,50.0,1.238187e-05,2.898915997296261e+22,False,True,True
45.0,6.5682e-12,2.213922e-07,45.0,1.049369e-05,2.3179670761909036e+22,False,True,True
40.0,7.1432e-12,2.560602e-07,40.0,8.746295e-06,1.959811853546653e+22,False,True,True
35.0,7.7708e-12,3.129592e-07,35.0,7.243927e-06,1.6560312848845472e+22,False,True,True
30.0,8.8018e-12,4.144222e-07,30.0,5.990188e-06,1.2907942078683044e+22,False,True,True
20.0,1.10243e-11,7.043652e-07,20.0,4.128152e-06,8.228069548977919e+21,False,True,True
10.0,1.07153e-11,8.521322e-07,10.0,2.919052e-06,8.709462041578974e+21,False,True,True
0.0,8.8256e-12,1.179731e-06,0.0,-2.666093e-07,1.2838418239825499e+22,False,True,True
0.0,8.1285e-12,1.198411e-06,0.0,-1.527544e-07,1.513488689844694e+22,True,False,False
1.0,1.02248e-11,1.093601e-06,1.0,1.218363e-06,9.565118534223974e+21,True,False,False
2.0,1.05345e-11,1.043441e-06,2.0,1.634385e-06,9.010982475056063e+21,True,False,False
3.0,1.06547e-11,1.007771e-06,3.0,1.929715e-06,8.808816194529443e+21,True,False,False
4.0,1.06818e-11,9.735732e-07,4.0,2.163335e-06,8.764176508171683e+21,True,False,False
5.0,1.06991e-11,9.469752e-07,5.0,2.365864e-06,8.73585680431485e+21,True,False,False
6.0,1.06918e-11,9.229982e-07,6.0,2.542323e-06,8.747789972775133e+21,True,False,False
7.0,1.06822e-11,9.015092e-07,7.0,2.704649e-06,8.763520163042865e+21,True,False,False
8.0,1.06945e-11,8.829222e-07,8.0,2.860928e-06,8.743373487399937e+21,True,False,False
9.0,1.06772e-11,8.644292e-07,9.0,2.996378e-06,8.771729779877624e+21,True,False,False
10.0,1.06656e-11,8.455022e-07,10.0,3.13572e-06,8.790820576207035e+21,True,False,False
11.0,1.06628e-11,8.285082e-07,11.0,3.266348e-06,8.795438036801153e+21,True,False,False
12.0,1.06859e-11,8.134862e-07,12.0,3.39044e-06,8.757452464297778e+21,True,False,False
13.0,1.06892e-11,7.971962e-07,13.0,3.517066e-06,8.752046048073892e+21,True,False,False
14.0,1.07103e-11,7.818732e-07,14.0,3.634621e-06,8.717595796007565e+21,True,False,False
15.0,1.07396e-11,7.667952e-07,15.0,3.757559e-06,8.670093630532916e+21,True,False,False
16.0,1.07739e-11,7.517772e-07,16.0,3.871023e-06,8.61497694439065e+21,True,False,False
17.0,1.08162e-11,7.367452e-07,17.0,3.986686e-06,8.547725793255033e+21,True,False,False
18.0,1.08603e-11,7.224012e-07,18.0,4.09845e-06,8.478447897656415e+21,True,False,False
19.0,1.09232e-11,7.103822e-07,19.0,4.223133e-06,8.381084686255851e+21,True,False,False
20.0,1.09705e-11,6.976692e-07,20.0,4.33058e-06,8.30896934067379e+21,True,False,False
21.0,1.09652e-11,6.835942e-07,21.0,4.452703e-06,8.31700351792881e+21,True,False,False
22.0,1.08646e-11,6.645142e-07,22.0,4.575575e-06,8.471738012082122e+21,True,False,False
23.0,1.06666e-11,6.385212e-07,23.0,4.710111e-06,8.789172364311226e+21,True,False,False
24.0,1.04378e-11,6.055732e-07,24.0,4.871624e-06,9.178718651324196e+21,True,False,False
25.0,1.01883e-11,5.699372e-07,25.0,5.061333e-06,9.633776152676888e+21,True,False,False
26.0,9.9021e-12,5.331782e-07,26.0,5.243277e-06,1.0198713320312372e+22,True,False,False
27.0,9.6124e-12,4.987822e-07,27.0,5.434333e-06,1.082271770039947e+22,True,False,False
28.0,9.3094e-12,4.663282e-07,28.0,5.638234e-06,1.1538692974464484e+22,True,False,False
29.0,9.0296e-12,4.368572e-07,29.0,5.857757e-06,1.2264870751536096e+22,True,False,False
30.0,8.7636e-12,4.100832e-07,30.0,6.072873e-06,1.3020717204811765e+22,True,False,False
31.0,8.5138e-12,3.855092e-07,31.0,6.304062e-06,1.3795997669714725e+22,True,False,False
32.0,8.2861e-12,3.631952e-07,32.0,6.549832e-06,1.456463681616319e+22,True,False,False
33.0,8.084e-12,3.434682e-07,33.0,6.797001e-06,1.5301971554981453e+22,True,False,False
34.0,7.9042e-12,3.257182e-07,34.0,7.06653e-06,1.6006049610657295e+22,True,False,False
35.0,7.7465e-12,3.100512e-07,35.0,7.324977e-06,1.6664371913219333e+22,True,False,False
35.5,7.6707e-12,3.026332e-07,35.5,7.45767e-06,1.699534575097625e+22,True,False,False
36.0,7.6005e-12,2.957702e-07,36.0,7.59367e-06,1.73107415865003e+22,True,False,False
36.5,7.5279e-12,2.889622e-07,36.5,7.728202e-06,1.7646245515339711e+22,True,False,False
37.0,7.4672e-12,2.831812e-07,37.0,7.881337e-06,1.7934300110523495e+22,True,False,False
37.5,7.4058e-12,2.775592e-07,37.5,8.02954e-06,1.823291222533619e+22,True,False,False
