tag1,tag2,gainLayerDepletionVoltage,fullDepletionVoltage
allData,allData,30.010591249567128,70.58018072754444
ascending,ascending,29.82171114711475,70.87120843489117
descending,descending,30.18382850172289,70.31839338681748
