Measurement done: 2024-08-28 16:14:42.458469
Sourcemeter: Keithley 6487
Currentmeter: Keithley 6487

Comments: 
Enter comments here

Number of points for median: 5
Hardware compliance: 2.5E-3
Software compliance used: True, value: 500μA
Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
67.0,	0.0003932241,	2.6436527976472378e-08,	3.064766e-09,	1.272573197359864e-13
67.5,	0.0003951432,	6.13507147780697e-08,	3.078287e-09,	1.4379553194661196e-13
68.0,	0.0003972531,	8.7140769007524e-08,	3.091834e-09,	1.0011345477287487e-13
68.5,	0.0003996285,	3.092924496928873e-08,	3.105387e-09,	1.1018090620331098e-13
69.0,	0.0004014941,	5.16760614866005e-08,	3.119072e-09,	3.199210813035141e-14
69.5,	0.0004032597,	2.573824451525563e-08,	3.132255e-09,	2.2586761495616496e-13
70.0,	0.0004053891,	5.427420729901431e-08,	3.146466e-09,	1.629756204611591e-13
71.0,	0.0004096586,	5.3851573525734554e-08,	3.173361e-09,	1.2619309512463e-13
72.0,	0.0004140058,	3.622059146913235e-08,	3.201041e-09,	2.1637560244674193e-13
END
