Bias Voltage [V],Total Current [A],Pad Current [A],Ascending,Descending,Is Coarse
0.0,5.45787e-11,-3.758554e-14,True,False,False
2.020202,4.856577e-10,1.953431e-12,True,False,False
4.040404,5.431506e-10,2.610269e-12,True,False,False
6.060606,5.263944e-10,3.946705e-12,True,False,False
8.080808,5.716129e-10,6.145663e-12,True,False,False
10.10101,6.065811e-10,9.064002e-12,True,False,False
12.12121,6.387127e-10,1.315678e-11,True,False,False
14.14141,6.565654e-10,1.82874e-11,True,False,False
16.16162,7.022186e-10,2.46425e-11,True,False,False
18.18182,7.305865e-10,3.271772e-11,True,False,False
20.20202,7.614701e-10,4.226883e-11,True,False,False
22.22222,2.398269e-10,5.352077e-11,True,False,False
24.24242,3.217524e-10,6.964699e-11,True,False,False
26.26263,2.446479e-10,8.694971e-11,True,False,False
28.28283,2.667729e-10,1.122442e-10,True,False,False
30.30303,7.708316e-10,1.449013e-10,True,False,False
32.32323,7.575364e-10,1.872805e-10,True,False,False
34.34343,4.625597e-10,2.491005e-10,True,False,False
36.36364,5.485594e-10,3.340634e-10,True,False,False
38.38384,1.282835e-09,4.61928e-10,True,False,False
40.40404,1.209399e-09,6.402362e-10,True,False,False
42.42424,1.200776e-09,9.025028e-10,True,False,False
44.44444,1.614816e-09,1.303583e-09,True,False,False
46.46465,2.355334e-09,1.877901e-09,True,False,False
48.48485,3.226155e-09,2.236931e-09,True,False,False
50.50505,3.196198e-09,2.279183e-09,True,False,False
52.52525,3.157068e-09,2.320027e-09,True,False,False
54.54545,3.142051e-09,2.357713e-09,True,False,False
56.56566,3.38231e-09,2.394208e-09,True,False,False
58.58586,3.566285e-09,2.433332e-09,True,False,False
60.60606,3.332683e-09,2.476055e-09,True,False,False
62.62626,3.477627e-09,2.516101e-09,True,False,False
64.64646,3.517795e-09,2.557405e-09,True,False,False
66.66667,3.536917e-09,2.599424e-09,True,False,False
68.68687,3.658914e-09,2.640582e-09,True,False,False
70.70707,3.746062e-09,2.687663e-09,True,False,False
72.72727,3.746325e-09,2.732286e-09,True,False,False
74.74747,4.455034e-09,2.776591e-09,True,False,False
76.76768,4.388768e-09,2.829423e-09,True,False,False
78.78788,4.682562e-09,2.879052e-09,True,False,False
80.80808,4.481076e-09,2.926758e-09,True,False,False
82.82828,4.647161e-09,2.977655e-09,True,False,False
84.84848,4.695839e-09,3.032534e-09,True,False,False
86.86869,4.796848e-09,3.080843e-09,True,False,False
88.88889,5.355621e-09,3.136078e-09,True,False,False
90.90909,5.693899e-09,3.194546e-09,True,False,False
92.92929,5.720813e-09,3.248249e-09,True,False,False
94.94949,6.134243e-09,3.310741e-09,True,False,False
96.9697,6.17105e-09,3.3756e-09,True,False,False
98.9899,6.841099e-09,3.431243e-09,True,False,False
101.0101,7.577285e-09,3.494677e-09,True,False,False
103.0303,8.197603e-09,3.566112e-09,True,False,False
105.0505,9.497821e-09,3.628157e-09,True,False,False
107.0707,1.069763e-08,3.699363e-09,True,False,False
109.0909,1.234284e-08,3.768892e-09,True,False,False
111.1111,1.404145e-08,3.840068e-09,True,False,False
113.1313,1.570936e-08,3.916406e-09,True,False,False
115.1515,1.728759e-08,3.989914e-09,True,False,False
117.1717,1.845624e-08,4.077233e-09,True,False,False
119.1919,2.039969e-08,4.156179e-09,True,False,False
121.2121,2.272437e-08,4.239902e-09,True,False,False
123.2323,2.59852e-08,4.321111e-09,True,False,False
125.2525,2.984336e-08,4.4139e-09,True,False,False
127.2727,3.432219e-08,4.502843e-09,True,False,False
129.2929,3.863729e-08,4.597555e-09,True,False,False
131.3131,3.951783e-08,4.69192e-09,True,False,False
133.3333,4.023475e-08,4.793072e-09,True,False,False
135.3535,4.058889e-08,4.895904e-09,True,False,False
137.3737,4.132466e-08,5.010361e-09,True,False,False
139.3939,4.147752e-08,5.115766e-09,True,False,False
141.4141,4.227061e-08,5.220777e-09,True,False,False
143.4343,4.281818e-08,5.345016e-09,True,False,False
145.4545,4.371454e-08,5.467353e-09,True,False,False
147.4747,4.396008e-08,5.597153e-09,True,False,False
149.4949,4.482733e-08,5.728193e-09,True,False,False
151.5152,4.547226e-08,5.859931e-09,True,False,False
153.5354,4.624718e-08,6.004595e-09,True,False,False
155.5556,4.667855e-08,6.147137e-09,True,False,False
157.5758,4.749192e-08,6.299219e-09,True,False,False
159.596,4.829853e-08,6.447829e-09,True,False,False
161.6162,4.881447e-08,6.613544e-09,True,False,False
163.6364,4.980882e-08,6.78124e-09,True,False,False
165.6566,5.062478e-08,6.957131e-09,True,False,False
167.6768,5.128359e-08,7.129485e-09,True,False,False
169.697,5.196344e-08,7.31425e-09,True,False,False
171.7172,5.280995e-08,7.514152e-09,True,False,False
173.7374,5.368991e-08,7.726318e-09,True,False,False
175.7576,5.447855e-08,7.945581e-09,True,False,False
177.7778,5.514897e-08,8.172092e-09,True,False,False
179.798,5.638821e-08,8.40945e-09,True,False,False
181.8182,5.696443e-08,8.643835e-09,True,False,False
183.8384,5.769454e-08,8.912091e-09,True,False,False
185.8586,5.869952e-08,9.175551e-09,True,False,False
187.8788,5.969542e-08,9.46979e-09,True,False,False
189.899,6.079167e-08,9.773784e-09,True,False,False
191.9192,6.229973e-08,1.006751e-08,True,False,False
193.9394,6.285589e-08,1.041519e-08,True,False,False
195.9596,6.453295e-08,1.075529e-08,True,False,False
197.9798,6.574517e-08,1.112962e-08,True,False,False
200.0,6.694606e-08,1.152566e-08,True,False,False
200.0,6.683977e-08,1.152639e-08,False,True,False
197.9798,6.547805e-08,1.112791e-08,False,True,False
195.9596,6.430345e-08,1.07522e-08,False,True,False
193.9394,6.28178e-08,1.04056e-08,False,True,False
191.9192,6.219997e-08,1.00757e-08,False,True,False
189.899,6.079412e-08,9.753901e-09,False,True,False
187.8788,5.974631e-08,9.460357e-09,False,True,False
185.8586,5.876379e-08,9.173133e-09,False,True,False
183.8384,5.784133e-08,8.907345e-09,False,True,False
181.8182,5.704869e-08,8.65982e-09,False,True,False
179.798,5.632609e-08,8.398977e-09,False,True,False
177.7778,5.507135e-08,8.161385e-09,False,True,False
175.7576,5.469776e-08,7.945042e-09,False,True,False
173.7374,5.346855e-08,7.730044e-09,False,True,False
171.7172,5.322112e-08,7.524991e-09,False,True,False
169.697,5.204286e-08,7.323792e-09,False,True,False
167.6768,5.125917e-08,7.127924e-09,False,True,False
165.6566,5.075239e-08,6.94713e-09,False,True,False
163.6364,4.993315e-08,6.775959e-09,False,True,False
161.6162,4.928339e-08,6.59467e-09,False,True,False
159.596,4.827514e-08,6.443386e-09,False,True,False
157.5758,4.794382e-08,6.283675e-09,False,True,False
155.5556,4.729308e-08,6.13056e-09,False,True,False
153.5354,4.665343e-08,5.994388e-09,False,True,False
151.5152,4.602377e-08,5.847636e-09,False,True,False
149.4949,4.500222e-08,5.714671e-09,False,True,False
147.4747,4.42371e-08,5.580576e-09,False,True,False
145.4545,4.407054e-08,5.463274e-09,False,True,False
143.4343,4.340419e-08,5.337259e-09,False,True,False
141.4141,4.276479e-08,5.225566e-09,False,True,False
139.3939,4.23162e-08,5.111729e-09,False,True,False
137.3737,4.152146e-08,4.993435e-09,False,True,False
135.3535,4.133996e-08,4.896399e-09,False,True,False
133.3333,4.035146e-08,4.792509e-09,False,True,False
131.3131,3.981533e-08,4.686899e-09,False,True,False
129.2929,3.940137e-08,4.590237e-09,False,True,False
127.2727,3.89427e-08,4.506043e-09,False,True,False
125.2525,3.82785e-08,4.407066e-09,False,True,False
123.2323,3.49426e-08,4.319881e-09,False,True,False
121.2121,3.082447e-08,4.229627e-09,False,True,False
119.1919,2.697261e-08,4.150584e-09,False,True,False
117.1717,2.343507e-08,4.065214e-09,False,True,False
115.1515,2.083854e-08,3.986381e-09,False,True,False
113.1313,1.914396e-08,3.915993e-09,False,True,False
111.1111,1.759012e-08,3.84183e-09,False,True,False
109.0909,1.589667e-08,3.762501e-09,False,True,False
107.0707,1.457701e-08,3.691229e-09,False,True,False
105.0505,1.258996e-08,3.622334e-09,False,True,False
103.0303,1.071587e-08,3.559154e-09,False,True,False
101.0101,9.40658e-09,3.490752e-09,False,True,False
98.9899,8.242124e-09,3.426315e-09,False,True,False
96.9697,6.897522e-09,3.367377e-09,False,True,False
94.94949,6.469598e-09,3.303259e-09,False,True,False
92.92929,5.537068e-09,3.244742e-09,False,True,False
90.90909,5.504842e-09,3.189836e-09,False,True,False
88.88889,5.332097e-09,3.1306e-09,False,True,False
86.86869,4.978256e-09,3.073368e-09,False,True,False
84.84848,4.209162e-09,3.02227e-09,False,True,False
82.82828,4.369309e-09,2.973102e-09,False,True,False
80.80808,3.735398e-09,2.922341e-09,False,True,False
78.78788,3.887924e-09,2.870148e-09,False,True,False
76.76768,3.383843e-09,2.818521e-09,False,True,False
74.74747,3.672648e-09,2.772084e-09,False,True,False
72.72727,3.176853e-09,2.72548e-09,False,True,False
70.70707,3.33698e-09,2.680861e-09,False,True,False
68.68687,3.148767e-09,2.63582e-09,False,True,False
66.66667,2.615395e-09,2.591243e-09,False,True,False
64.64646,3.0321e-09,2.555576e-09,False,True,False
62.62626,2.849903e-09,2.511477e-09,False,True,False
60.60606,2.829856e-09,2.466211e-09,False,True,False
58.58586,2.500086e-09,2.427765e-09,False,True,False
56.56566,2.244302e-09,2.387883e-09,False,True,False
54.54545,2.617266e-09,2.347029e-09,False,True,False
52.52525,2.556558e-09,2.312123e-09,False,True,False
50.50505,2.304366e-09,2.278612e-09,False,True,False
48.48485,2.201542e-09,2.231607e-09,False,True,False
46.46465,2.009605e-09,1.872565e-09,False,True,False
44.44444,9.587613e-10,1.29972e-09,False,True,False
42.42424,1.14841e-09,9.004834e-10,False,True,False
40.40404,3.957702e-10,6.37956e-10,False,True,False
38.38384,5.720102e-10,4.590089e-10,False,True,False
36.36364,1.23715e-10,3.319567e-10,False,True,False
34.34343,4.018873e-10,2.467347e-10,False,True,False
32.32323,-8.855333e-12,1.859505e-10,False,True,False
30.30303,1.69549e-10,1.424221e-10,False,True,False
28.28283,4.174328e-12,1.116399e-10,False,True,False
26.26263,-3.421749e-11,8.671619e-11,False,True,False
24.24242,-6.793306e-11,6.878965e-11,False,True,False
22.22222,-1.058105e-10,5.23111e-11,False,True,False
20.20202,2.839431e-10,4.157653e-11,False,True,False
18.18182,2.569938e-10,3.194483e-11,False,True,False
16.16162,2.349044e-10,2.386304e-11,False,True,False
14.14141,2.12645e-10,1.753194e-11,False,True,False
12.12121,1.950758e-10,1.262627e-11,False,True,False
10.10101,1.771283e-10,8.75476e-12,False,True,False
8.080808,1.571005e-10,5.665597e-12,False,True,False
6.060606,1.439189e-10,3.605676e-12,False,True,False
4.040404,-1.525262e-10,2.220022e-12,False,True,False
2.020202,-1.115351e-09,1.869148e-12,False,True,False
0.0,-1.730009e-11,-8.262e-15,False,True,False
