Bias Voltage [V],Total Current [A],Pad Current [A],Ascending,Descending,Is Coarse
0.0,3.491085e-11,3.157472e-13,True,False,False
2.040816,4.737046e-10,2.422421e-12,True,False,False
4.081633,5.225546e-10,3.033324e-12,True,False,False
6.122449,5.166726e-10,4.418769e-12,True,False,False
8.163265,5.574468e-10,6.561946e-12,True,False,False
10.20408,6.026278e-10,9.879145e-12,True,False,False
12.2449,6.436848e-10,1.402872e-11,True,False,False
14.28571,6.795987e-10,1.91009e-11,True,False,False
16.32653,7.131674e-10,2.593133e-11,True,False,False
18.36735,7.459607e-10,3.408304e-11,True,False,False
20.40816,7.685978e-10,4.400531e-11,True,False,False
22.44898,-1.269289e-10,5.671691e-11,True,False,False
24.4898,3.718388e-10,7.172592e-11,True,False,False
26.53061,5.580944e-10,9.154646e-11,True,False,False
28.57143,1.635908e-10,1.165577e-10,True,False,False
30.61224,3.668903e-10,1.507124e-10,True,False,False
32.65306,5.721413e-10,1.965791e-10,True,False,False
34.69388,4.690052e-10,2.633851e-10,True,False,False
36.73469,1.06353e-09,3.552619e-10,True,False,False
38.77551,7.462259e-10,4.912092e-10,True,False,False
40.81633,9.431566e-10,6.854681e-10,True,False,False
42.85714,1.276214e-09,9.742789e-10,True,False,False
44.89796,2.308011e-09,1.415541e-09,True,False,False
46.93878,2.621005e-09,2.048142e-09,True,False,False
48.97959,2.882897e-09,2.247772e-09,True,False,False
51.02041,3.275284e-09,2.289827e-09,True,False,False
53.06122,3.409686e-09,2.326313e-09,True,False,False
55.10204,3.193504e-09,2.36605e-09,True,False,False
57.14286,3.494617e-09,2.404932e-09,True,False,False
59.18367,3.635985e-09,2.445894e-09,True,False,False
61.22449,3.453999e-09,2.486357e-09,True,False,False
63.26531,3.373299e-09,2.527628e-09,True,False,False
65.30612,3.514988e-09,2.574875e-09,True,False,False
67.34694,4.08104e-09,2.616716e-09,True,False,False
69.38776,3.980923e-09,2.657806e-09,True,False,False
71.42857,3.807553e-09,2.702148e-09,True,False,False
73.46939,4.002007e-09,2.746379e-09,True,False,False
75.5102,4.060767e-09,2.795052e-09,True,False,False
77.55102,4.497255e-09,2.847222e-09,True,False,False
79.59184,4.369559e-09,2.893127e-09,True,False,False
81.63265,5.062912e-09,2.945961e-09,True,False,False
83.67347,5.33528e-09,2.995304e-09,True,False,False
85.71429,5.037759e-09,3.050585e-09,True,False,False
87.7551,5.28e-09,3.104718e-09,True,False,False
89.79592,5.470632e-09,3.167482e-09,True,False,False
91.83673,6.167673e-09,3.221086e-09,True,False,False
93.87755,6.68283e-09,3.277157e-09,True,False,False
95.91837,6.821248e-09,3.341226e-09,True,False,False
97.95918,7.403868e-09,3.398922e-09,True,False,False
100.0,8.341521e-09,3.462533e-09,True,False,False
