Measurement done: 2024-08-23 16:34:44.586634
Sourcemeter: Keithley 6487
Currentmeter: Keithley 6487

Comments: 
J4
Everything but broken pixel 00 is grounded

Number of points for median: 5
Hardware compliance: 250E-6
Software compliance used: True, value: 100μA
Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
BEGIN
1.0,	1.538087e-05,	5.052536760730341e-09,	7.601942e-13,	6.510571762537635e-13
2.0,	2.366133e-05,	8.08215378479015e-09,	1.20616e-12,	4.77059338672354e-13
3.0,	2.390959e-05,	3.9717699310120726e-09,	-2.569419e-12,	6.76841341413089e-12
4.0,	2.398274e-05,	2.517195787505029e-09,	2.110048e-11,	4.009659179199669e-12
5.0,	2.403959e-05,	2.538229946394089e-09,	5.830921e-12,	1.8416853400035556e-12
6.0,	2.409365e-05,	2.0570991922959773e-09,	8.08874e-12,	7.68478219607262e-13
7.0,	2.416131e-05,	1.93952458344262e-09,	8.217393e-12,	1.5567580072805937e-12
8.0,	2.423933e-05,	1.586673352430857e-09,	7.88176e-12,	4.747448383019819e-13
9.0,	2.434334e-05,	1.609053983949895e-09,	8.63839e-12,	4.779389533212035e-13
10.0,	2.448719e-05,	2.587958474292843e-09,	9.77717e-12,	1.5670890922701439e-13
11.0,	2.468876e-05,	1.3680227476366137e-09,	1.340731e-11,	2.1719903164263975e-13
12.0,	2.496486e-05,	2.7651146809950387e-09,	1.84714e-11,	1.70197066934394e-13
13.0,	2.533074e-05,	1.3792691372606254e-09,	2.718515e-11,	1.8808641539274659e-13
14.0,	2.58023e-05,	2.935856274077517e-09,	3.775706e-11,	1.6239376273705945e-13
15.0,	2.638055e-05,	9.128670773557514e-10,	5.287159e-11,	2.683423010031109e-13
16.0,	2.705617e-05,	1.8424348727776568e-09,	7.474468e-11,	3.164567884555333e-13
17.0,	2.78143e-05,	9.09946014976285e-10,	1.025766e-10,	2.5818718211234025e-13
18.0,	2.868123e-05,	4.698580926956855e-09,	1.398134e-10,	2.87587171242153e-13
19.0,	2.978284e-05,	1.0780725005678483e-08,	1.882612e-10,	3.653053375733677e-13
20.0,	3.121225e-05,	2.0086740340247635e-08,	2.515631e-10,	5.444653992492783e-13
21.0,	3.321422e-05,	6.711176228194952e-08,	3.341359e-10,	4.310829405974335e-13
22.0,	3.533899e-05,	4.111105713781761e-08,	4.428456e-10,	5.278751132255497e-13
23.0,	3.786563e-05,	4.053023010040125e-08,	5.904229e-10,	4.4321733397095734e-13
24.0,	4.035344e-05,	4.2105366027044766e-08,	7.940773e-10,	5.58425356785391e-13
25.0,	4.265681e-05,	4.6456892193032895e-08,	1.07792e-09,	5.130487352128222e-13
26.0,	4.452336e-05,	7.078390887117454e-08,	1.459464e-09,	3.7402956947457475e-13
26.2,	4.517275e-05,	1.0135288877134184e-07,	1.547244e-09,	7.809576357337356e-12
26.4,	4.592641e-05,	1.0621456397024202e-07,	1.636512e-09,	6.964509967806756e-12
26.6,	4.60204e-05,	5.0273078190528535e-08,	1.733414e-09,	1.9927602445490495e-13
26.8,	4.63178e-05,	4.795559908059034e-08,	1.829637e-09,	4.998081371724629e-13
27.0,	4.659978e-05,	2.777324291082114e-08,	1.925728e-09,	2.142839424330279e-13
27.2,	4.677559e-05,	5.34221904249425e-08,	2.016622e-09,	2.0840016035997714e-12
27.4,	4.749291e-05,	1.0355323918646268e-07,	2.079226e-09,	2.775253622805542e-13
27.6,	4.716748e-05,	8.560980401422149e-08,	2.109271e-09,	2.873848418907042e-13
27.8,	4.727441e-05,	7.94089920131357e-08,	2.123076e-09,	3.954779941567401e-14
28.0,	4.700598e-05,	9.07835613191278e-08,	2.13207e-09,	1.1095496388860871e-13
29.0,	4.658595e-05,	9.510500752009644e-08,	2.155294e-09,	1.239077996643928e-13
30.0,	4.69647e-05,	8.901043938112623e-08,	2.173963e-09,	8.575380119746288e-14
END
