Measurement done: 2024-08-23 16:02:50.154341
Sourcemeter: Keithley 6487
Currentmeter: Keithley 6487

Comments: 
J8
Everything but broken pixel 00 is grounded

Number of points for median: 5
Hardware compliance: 250E-6
Software compliance used: True, value: 100μA
Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
BEGIN
1.0,	1.572081e-05,	3.164625323054121e-09,	2.967421e-10,	3.0336445333310055e-11
2.0,	2.404676e-05,	8.325324766701506e-09,	2.081141e-10,	1.894477663819227e-12
3.0,	2.429122e-05,	4.397909335640484e-09,	7.469693e-10,	1.2161666315996714e-11
4.0,	2.43553e-05,	2.7571397236336967e-09,	5.068926e-09,	1.2061433164267277e-10
5.0,	2.439238e-05,	2.1007399405528917e-09,	8.438915e-09,	2.476548774001508e-10
6.0,	2.443498e-05,	1.7822703693854287e-09,	1.392438e-08,	3.188334471832977e-10
7.0,	2.448625e-05,	1.5456581574661258e-09,	2.214581e-08,	3.3308103510957213e-10
8.0,	2.454935e-05,	1.330064702463766e-09,	3.591239e-08,	4.14456196666861e-10
9.0,	2.464874e-05,	2.3112553550638077e-09,	5.47126e-08,	1.4888505203699784e-09
10.0,	2.477772e-05,	1.2656377256560362e-09,	6.467983e-08,	6.295188354969445e-10
11.0,	2.497421e-05,	1.0536684969330392e-09,	7.786581e-08,	5.462622410967796e-10
12.0,	2.525265e-05,	2.1964701241456932e-09,	9.105827e-08,	1.781362301232234e-09
13.0,	2.562558e-05,	1.849082633913598e-09,	1.030027e-07,	1.2596894437293177e-09
14.0,	2.610132e-05,	1.7530199673144577e-09,	1.163868e-07,	1.3387205898264667e-09
15.0,	2.666841e-05,	1.229294638334537e-09,	1.213519e-07,	7.563781269023919e-10
16.0,	2.733112e-05,	1.0919992682708978e-09,	1.34309e-07,	7.749878911000907e-10
17.0,	2.808382e-05,	1.2290974757813925e-09,	1.587833e-07,	9.866112472259342e-10
18.0,	2.893326e-05,	1.1586070202420136e-09,	2.069755e-07,	9.710298224874549e-10
19.0,	2.993063e-05,	3.930507548112955e-09,	3.484402e-07,	6.1015945849570915e-09
20.0,	3.123807e-05,	1.849276567098753e-08,	7.189376e-07,	1.8883954321176736e-08
21.0,	3.286614e-05,	4.017802010632757e-08,	1.366407e-06,	4.053301907089279e-08
22.0,	3.479153e-05,	2.7414324481051617e-08,	2.303057e-06,	2.8825500992659112e-08
23.0,	3.692998e-05,	2.531693642652762e-08,	3.298625e-06,	2.5063717240332524e-08
24.0,	3.923437e-05,	4.01664561502197e-08,	4.448743e-06,	4.037254394331339e-08
25.0,	4.125794e-05,	4.561422538427142e-08,	5.241781e-06,	4.556545906254455e-08
26.0,	4.326668e-05,	4.836994001085886e-08,	5.920926e-06,	4.836852698862582e-08
26.2,	4.35121e-05,	4.415201483842203e-08,	5.880309e-06,	4.435553068846972e-08
26.4,	4.409499e-05,	6.733139540383242e-08,	6.177848e-06,	6.77692532123487e-08
26.6,	4.449035e-05,	5.335786146901377e-08,	6.286203e-06,	5.355771719916867e-08
26.8,	4.482584e-05,	4.124619781783706e-08,	6.325262e-06,	4.1409666174699815e-08
27.0,	4.523561e-05,	7.474804238257378e-08,	6.434737e-06,	7.50520799122609e-08
27.2,	4.537118e-05,	5.697033745234489e-08,	6.256513e-06,	5.720115710104821e-08
27.4,	4.589649e-05,	3.8637852432119216e-08,	6.457874e-06,	3.892764021981214e-08
27.6,	4.617163e-05,	5.040716832585604e-08,	6.389869e-06,	5.091729674248178e-08
27.8,	4.64065e-05,	7.788389207837563e-08,	6.280516e-06,	7.875503273548026e-08
28.0,	4.728021e-05,	5.728261217710922e-08,	6.814018e-06,	5.7377124582746165e-08
29.0,	4.904009e-05,	8.611631391871151e-08,	6.944198e-06,	8.592820036314851e-08
30.0,	5.071258e-05,	1.0580726265677069e-07,	7.043707e-06,	1.0626782012828653e-07
END
