Measurement done: 2024-08-23 16:30:29.389267
Sourcemeter: Keithley 6487
Currentmeter: Keithley 6487

Comments: 
J3
Everything but broken pixel 00 is grounded

Number of points for median: 5
Hardware compliance: 250E-6
Software compliance used: True, value: 100μA
Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
BEGIN
1.0,	1.546459e-05,	3.4678539894803986e-09,	-1.601795e-11,	9.912222832633291e-12
2.0,	2.335165e-05,	7.341844957670588e-09,	1.3022e-12,	6.65593546470542e-13
3.0,	2.358529e-05,	3.1682636843289466e-09,	1.041059e-11,	1.1626755194014829e-11
4.0,	2.366498e-05,	1.6348592304885394e-09,	1.103978e-11,	2.06985563586734e-12
5.0,	2.373857e-05,	1.7717006511916254e-09,	4.616851e-12,	5.084973563479518e-12
6.0,	2.380891e-05,	1.3552943600226614e-09,	3.958269e-12,	3.693303355938511e-12
7.0,	2.388879e-05,	1.0864747623610963e-09,	6.133943e-12,	1.457535815227061e-12
8.0,	2.398489e-05,	2.3662688505258594e-09,	8.904777e-12,	2.238568059923591e-12
9.0,	2.409573e-05,	7.708710164504007e-10,	1.229533e-11,	1.5495709516000221e-12
10.0,	2.424747e-05,	7.080922235988484e-10,	1.532045e-11,	7.148925758186648e-13
11.0,	2.445598e-05,	1.7286713031812872e-09,	2.420899e-11,	4.744885164464257e-13
12.0,	2.474416e-05,	4.435386476597466e-10,	3.482138e-11,	5.209919133479786e-13
13.0,	2.512456e-05,	1.5629356377490782e-09,	4.994518e-11,	3.575158017817662e-13
14.0,	2.560636e-05,	6.364114317706361e-10,	7.404048e-11,	4.350352439403772e-13
15.0,	2.6196e-05,	1.3112551501970177e-09,	1.064136e-10,	4.2140495249263914e-13
16.0,	2.686767e-05,	3.1304571631464517e-09,	1.504759e-10,	4.684209496287242e-13
17.0,	2.765784e-05,	1.4275380853011046e-09,	2.102924e-10,	3.057709206609726e-13
18.0,	2.851582e-05,	3.2989924541275353e-09,	2.87867e-10,	4.934704520708732e-13
19.0,	2.95454e-05,	9.710780629677126e-09,	3.900212e-10,	1.6283833353514441e-13
20.0,	3.092014e-05,	3.0903841356862494e-08,	5.223742e-10,	3.393206549944328e-13
21.0,	3.283836e-05,	3.035783988989182e-08,	6.952859e-10,	4.0922552716478963e-13
22.0,	3.50578e-05,	2.2588354536555364e-08,	9.237475e-10,	3.959499622255305e-13
23.0,	3.771601e-05,	5.290947751264216e-08,	1.230523e-09,	7.334510226415591e-13
24.0,	4.045779e-05,	8.281838391153417e-08,	1.642717e-09,	8.996041883124735e-13
25.0,	4.250269e-05,	5.033089958930013e-08,	2.198203e-09,	2.5923962548395453e-13
26.0,	4.474318e-05,	7.95666209455634e-08,	2.943733e-09,	2.2712530203769517e-13
26.2,	4.52792e-05,	5.13777418762815e-08,	3.122793e-09,	1.6514934130253273e-11
26.4,	4.543357e-05,	4.6810723494570265e-08,	3.309609e-09,	1.873830049067512e-11
26.6,	4.550111e-05,	5.2465620597879595e-08,	3.506663e-09,	4.698670139901583e-13
26.8,	4.575117e-05,	1.4422915033590754e-07,	3.710257e-09,	6.608757244874058e-13
27.0,	4.679224e-05,	5.1102601275644035e-08,	3.914459e-09,	5.10790553927851e-13
27.2,	4.655234e-05,	8.101497284641139e-08,	4.119185e-09,	6.49753851937915e-12
27.4,	4.708977e-05,	1.4006921866593956e-07,	4.286206e-09,	4.2824250265756445e-12
27.6,	4.721453e-05,	8.137697482886765e-08,	4.390877e-09,	2.5068868021019803e-13
27.8,	4.744498e-05,	6.142253978838594e-08,	4.438175e-09,	2.453039172761124e-13
28.0,	4.754167e-05,	1.2704639573279225e-07,	4.463699e-09,	6.45507015626406e-14
29.0,	4.696207e-05,	5.0763155878935294e-08,	4.519813e-09,	1.1153043251112166e-13
30.0,	4.6458e-05,	6.859292772883912e-08,	4.561133e-09,	7.417090857947058e-14
END
