Measurement done: 2024-08-23 16:13:28.539021
Sourcemeter: Keithley 6487
Currentmeter: Keithley 6487

Comments: 
J6
Everything but broken pixel 00 is grounded

Number of points for median: 5
Hardware compliance: 250E-6
Software compliance used: True, value: 100μA
Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
BEGIN
1.0,	1.571298e-05,	3.1861582306490227e-09,	-5.825977e-11,	1.808826882746399e-11
2.0,	2.395498e-05,	8.497696215636088e-09,	2.174016e-12,	2.9286687743285406e-12
3.0,	2.419296e-05,	4.367103287526295e-09,	1.991516e-11,	2.0667548267097606e-11
4.0,	2.425132e-05,	2.817720009420495e-09,	1.315072e-11,	5.390173702824538e-12
5.0,	2.429341e-05,	2.260478831386611e-09,	8.686587e-12,	4.291429071263699e-12
6.0,	2.433358e-05,	1.9118441116034638e-09,	9.910135e-12,	2.642654690893949e-12
7.0,	2.438594e-05,	2.1758787526883777e-09,	1.624371e-11,	1.7650591885817362e-12
8.0,	2.445333e-05,	1.7586575633449417e-09,	2.14683e-11,	1.4532083620174626e-12
9.0,	2.455165e-05,	2.402259143315952e-09,	2.035751e-11,	8.20089566741782e-13
10.0,	2.468606e-05,	2.6274432002069213e-09,	2.83894e-11,	3.709003010446488e-13
11.0,	2.488413e-05,	2.39573312087666e-09,	4.046118e-11,	3.093256869660626e-13
12.0,	2.516741e-05,	1.7369324273255931e-09,	5.871715e-11,	1.0682353504815696e-12
13.0,	2.553688e-05,	1.5246871324662304e-09,	8.305783e-11,	5.975411145021579e-13
14.0,	2.601132e-05,	1.012270901598533e-09,	1.240677e-10,	1.9589066158583927e-12
15.0,	2.659136e-05,	1.435292435802752e-09,	1.700914e-10,	6.706703031748765e-13
16.0,	2.726382e-05,	1.7227032239512045e-09,	2.399847e-10,	3.10230958823365e-13
17.0,	2.802551e-05,	1.577790022864318e-09,	3.293431e-10,	7.819888474758656e-13
18.0,	2.886922e-05,	2.2138318573933943e-09,	4.482368e-10,	8.728156671046023e-13
19.0,	2.988266e-05,	6.982573276672134e-09,	6.011388e-10,	5.236750304749926e-13
20.0,	3.123658e-05,	2.3317088555138966e-08,	7.971063e-10,	1.5340275501964625e-12
21.0,	3.314471e-05,	3.731346549147805e-08,	1.053024e-09,	1.0606970357070806e-12
22.0,	3.535085e-05,	2.6645775313602014e-08,	1.383076e-09,	1.3870243067580098e-12
23.0,	3.752607e-05,	3.2432265109216684e-08,	1.83163e-09,	7.64125744033993e-13
24.0,	4.020079e-05,	2.0027013262170113e-08,	2.421233e-09,	1.2267984532492395e-12
25.0,	4.21513e-05,	2.417709139541979e-08,	3.223642e-09,	1.339032505499112e-12
26.0,	4.404095e-05,	6.179147673484838e-08,	4.283385e-09,	5.302209623560263e-13
26.2,	4.414796e-05,	7.080237205554243e-08,	4.526001e-09,	2.4256174698655616e-11
26.4,	4.480146e-05,	5.705159068351875e-08,	4.772475e-09,	2.2680271106263277e-11
26.6,	4.533294e-05,	9.518806158556435e-08,	5.019914e-09,	9.412961763655991e-13
26.8,	4.565258e-05,	4.7082885443117423e-08,	5.257036e-09,	8.473296414829358e-13
27.0,	4.589731e-05,	5.0685715720865226e-08,	5.449971e-09,	9.95949707030125e-13
27.2,	4.639014e-05,	4.35769214020423e-08,	5.561348e-09,	5.244372649933865e-13
27.4,	4.68024e-05,	4.357671945867526e-08,	5.609789e-09,	1.8549857336137349e-13
27.6,	4.749377e-05,	9.541192997157223e-08,	5.635488e-09,	2.492212021898705e-13
27.8,	4.81148e-05,	9.751484800010084e-08,	5.653055e-09,	3.041164844949785e-13
28.0,	4.818229e-05,	4.830121443350701e-08,	5.666032e-09,	1.652465375180814e-13
29.0,	5.007565e-05,	3.789092727045585e-08,	5.715783e-09,	1.6733815026765025e-13
30.0,	5.207002e-05,	8.826663535129192e-08,	5.760471e-09,	2.6756851690860896e-13
END
