Measurement done: 2024-08-23 16:19:51.379208
Sourcemeter: Keithley 6487
Currentmeter: Keithley 6487

Comments: 
J1
Everything but broken pixel 00 is grounded

Number of points for median: 5
Hardware compliance: 250E-6
Software compliance used: True, value: 100μA
Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
BEGIN
1.0,	1.580089e-05,	3.353702428730705e-09,	-2.384512e-11,	5.972266872956583e-12
2.0,	2.397653e-05,	8.312422207578329e-09,	8.350961e-13,	3.5328074054426094e-13
3.0,	2.421025e-05,	4.5116082041410565e-09,	7.465432e-12,	6.813671941238508e-12
4.0,	2.426696e-05,	2.939184467623183e-09,	4.348317e-13,	1.5348530289779604e-12
5.0,	2.431085e-05,	2.3277896484318394e-09,	1.252877e-12,	6.711344913011901e-13
6.0,	2.43576e-05,	1.87826019068861e-09,	4.329759e-12,	1.0021661859678147e-12
7.0,	2.441634e-05,	2.19060422587973e-09,	3.813321e-12,	5.313352936975229e-13
8.0,	2.449599e-05,	1.657873188367638e-09,	3.186348e-12,	3.801468969674982e-13
9.0,	2.45939e-05,	1.4498350570180432e-09,	5.050153e-12,	1.394143440511086e-13
10.0,	2.473982e-05,	1.6457106174135772e-09,	7.402814e-12,	2.136317719347292e-13
11.0,	2.493822e-05,	1.270427151551868e-09,	1.058338e-11,	1.4886650746799082e-13
12.0,	2.522286e-05,	1.6341749874308259e-09,	1.72254e-11,	1.6180221474185933e-13
13.0,	2.560994e-05,	2.7361478493115134e-10,	2.63157e-11,	1.8636302161951699e-13
14.0,	2.609053e-05,	2.095702286124491e-09,	3.900014e-11,	1.811283073319248e-13
15.0,	2.667862e-05,	1.6411418657090703e-09,	5.666794e-11,	4.844986502990619e-13
16.0,	2.735288e-05,	1.2962602764680228e-09,	8.052998e-11,	7.245801347791191e-13
17.0,	2.81148e-05,	1.7954038889654154e-09,	1.122348e-10,	7.902734879601625e-13
18.0,	2.896896e-05,	2.5275227426888935e-09,	1.52385e-10,	6.49744630740552e-13
19.0,	2.99806e-05,	1.0343536415567295e-08,	2.042075e-10,	3.31000328069648e-13
20.0,	3.143014e-05,	2.1215324473168353e-08,	2.706792e-10,	8.387775037609108e-14
21.0,	3.327196e-05,	4.0384890274981284e-08,	3.563503e-10,	1.7313398427683412e-13
22.0,	3.548898e-05,	4.309915934389988e-08,	4.681014e-10,	1.9395142538812038e-13
23.0,	3.796566e-05,	4.112557602899812e-08,	6.159653e-10,	1.4849389754898747e-13
24.0,	4.071134e-05,	3.5951876612567375e-08,	8.14569e-10,	3.8462148634996246e-13
25.0,	4.254929e-05,	5.054668888470967e-08,	1.08606e-09,	2.8364885432749044e-13
26.0,	4.50984e-05,	8.171046375772743e-08,	1.457419e-09,	1.855811056101286e-13
26.2,	4.538156e-05,	5.1989980816485853e-08,	1.546876e-09,	7.605212115019975e-12
26.4,	4.59266e-05,	4.137951914496528e-08,	1.641458e-09,	6.332576978530619e-12
26.6,	4.653047e-05,	4.9833117150986284e-08,	1.741005e-09,	1.870970199612971e-13
26.8,	4.70889e-05,	9.395236362845423e-08,	1.846825e-09,	4.817318276238053e-13
27.0,	4.699993e-05,	6.417246654723828e-08,	1.956995e-09,	2.635569826488328e-13
27.2,	4.755065e-05,	9.947692245688595e-08,	2.070961e-09,	4.440657148398321e-12
27.4,	4.801849e-05,	1.089413648352866e-07,	2.181857e-09,	3.8965529906383934e-13
27.6,	4.833799e-05,	6.688681344368547e-08,	2.278908e-09,	2.4918889364221185e-13
27.8,	4.899485e-05,	6.552520968638882e-08,	2.341868e-09,	4.5323356587647654e-14
28.0,	4.91638e-05,	1.0242995638199275e-07,	2.369117e-09,	1.731042610469096e-13
29.0,	5.088956e-05,	7.683799249721438e-08,	2.40902e-09,	1.1162182044935709e-13
30.0,	5.255567e-05,	7.948056571653826e-08,	2.430774e-09,	1.6825497063538792e-13
END
