Measurement done: 2024-08-23 16:25:46.960037
Sourcemeter: Keithley 6487
Currentmeter: Keithley 6487

Comments: 
J2
Everything but broken pixel 00 is grounded

Number of points for median: 5
Hardware compliance: 250E-6
Software compliance used: True, value: 100μA
Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
BEGIN
1.0,	1.570259e-05,	3.449898794864566e-09,	-4.358907e-11,	2.4001565422689916e-11
2.0,	2.387806e-05,	8.836884073019603e-09,	5.907646e-12,	1.241904956950685e-12
3.0,	2.410063e-05,	4.692944277673435e-09,	2.557168e-11,	2.5344339189562526e-11
4.0,	2.414878e-05,	3.1979404270310716e-09,	3.572911e-12,	3.2810684952374275e-12
5.0,	2.418655e-05,	2.88119540843371e-09,	1.471263e-11,	7.69970633340426e-12
6.0,	2.422809e-05,	2.742218272772792e-09,	2.114301e-11,	4.430693742923026e-12
7.0,	2.428302e-05,	2.148720005271233e-09,	3.036336e-11,	4.569995331245301e-12
8.0,	2.434669e-05,	2.2818874432681278e-09,	3.233951e-11,	3.719651956980949e-12
9.0,	2.443049e-05,	1.8581442586854633e-09,	3.45919e-11,	1.7310253843573917e-12
10.0,	2.454796e-05,	1.7830885740103928e-09,	4.308582e-11,	7.868711524383241e-13
11.0,	2.473103e-05,	2.4282883901256456e-09,	5.516316e-11,	1.87199806982523e-12
12.0,	2.500025e-05,	2.472234853328771e-09,	8.079351e-11,	8.515155061878566e-13
13.0,	2.535556e-05,	2.412400944590624e-09,	1.15196e-10,	9.086327212990087e-13
14.0,	2.581796e-05,	2.186979045064545e-09,	1.644972e-10,	5.345820053027107e-13
15.0,	2.638199e-05,	1.947390456349845e-09,	2.301426e-10,	3.4497881303320235e-13
16.0,	2.703451e-05,	1.6444524057417272e-09,	3.22718e-10,	5.190359640808709e-13
17.0,	2.779813e-05,	2.042827129195678e-09,	4.446921e-10,	8.619775255302836e-13
18.0,	2.865495e-05,	3.6354596953224075e-09,	6.026906e-10,	7.156554098910515e-13
19.0,	2.968462e-05,	8.436365707215132e-09,	8.113905e-10,	6.735638027974762e-13
20.0,	3.106469e-05,	1.777923771751902e-08,	1.077166e-09,	4.385791760378622e-13
21.0,	3.286414e-05,	3.793863070443233e-08,	1.424002e-09,	9.039305418134515e-13
22.0,	3.505046e-05,	2.4162002517873895e-08,	1.876913e-09,	1.0159659178507941e-12
23.0,	3.764157e-05,	6.67556201455477e-08,	2.474562e-09,	1.7550269622078482e-12
24.0,	4.016523e-05,	6.328313926723848e-08,	3.262016e-09,	1.6330056581352965e-12
25.0,	4.262444e-05,	6.02351989583579e-08,	4.329712e-09,	1.151916247962803e-12
26.0,	4.427202e-05,	6.619405157636501e-08,	5.770043e-09,	2.1514368807182727e-12
26.2,	4.43594e-05,	5.6053080223668246e-08,	6.112217e-09,	3.195603812524486e-11
26.4,	4.511324e-05,	3.496470312920674e-08,	6.467287e-09,	2.98729262194083e-11
26.6,	4.544288e-05,	4.789264525220191e-08,	6.845621e-09,	7.335220241236877e-13
26.8,	4.585308e-05,	1.0741662414185807e-07,	7.231125e-09,	4.3953353337186697e-13
27.0,	4.64533e-05,	9.071305750351799e-08,	7.621869e-09,	1.3111802121880014e-12
27.2,	4.624413e-05,	5.01206977633755e-08,	7.994285e-09,	8.833261810275227e-12
27.4,	4.651718e-05,	4.7952102754253224e-08,	8.287814e-09,	2.8579696146582006e-12
27.6,	4.675963e-05,	4.7046913326948166e-08,	8.4581e-09,	4.872656396735048e-13
27.8,	4.66999e-05,	9.903631434547152e-08,	8.536603e-09,	5.133615445984669e-13
28.0,	4.6614e-05,	8.916098274329268e-08,	8.580202e-09,	2.7332683367205183e-13
29.0,	4.656936e-05,	5.884828657906254e-08,	8.683001e-09,	3.6752829647135144e-13
30.0,	4.662799e-05,	1.3000614234596943e-07,	8.755721e-09,	3.283503169912118e-13
END
