Measurement done: 2024-08-23 15:53:36.518051
Sourcemeter: Keithley 6487
Currentmeter: Keithley 6487

Comments: 
J10
Everything but broken pixel 00 is grounded

Number of points for median: 5
Hardware compliance: 250E-6
Software compliance used: True, value: 100μA
Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
BEGIN
1.0,	1.526501e-05,	4.494811168161788e-09,	-4.52294e-11,	3.507781587618294e-12
2.0,	2.295575e-05,	5.715708780134156e-09,	1.022974e-12,	4.011579554430642e-13
3.0,	2.320128e-05,	2.21458586580009e-09,	1.19039e-11,	7.633349080970605e-12
4.0,	2.329043e-05,	1.1587278705112996e-09,	2.490181e-12,	2.0760948559509682e-12
5.0,	2.336023e-05,	7.051884709197841e-10,	7.551839e-13,	1.2272893209051481e-12
6.0,	2.342674e-05,	2.9738313805022155e-10,	2.94683e-12,	2.5551807535511646e-13
7.0,	2.350496e-05,	3.022778125047419e-10,	2.824009e-12,	2.6965211488673653e-13
8.0,	2.359964e-05,	8.340009529271842e-10,	3.908254e-12,	3.6930030157130154e-13
9.0,	2.371294e-05,	6.895577725594287e-10,	4.528597e-12,	7.068614618305611e-14
10.0,	2.386915e-05,	5.002197281967803e-10,	7.554212e-12,	1.0712979458284662e-13
11.0,	2.408384e-05,	7.870607505283462e-10,	1.130185e-11,	1.0918810987880985e-13
12.0,	2.438075e-05,	5.80009239000136e-10,	1.763476e-11,	1.8384832115439852e-13
13.0,	2.477085e-05,	1.2145886084932777e-09,	2.641824e-11,	8.180010234639983e-14
14.0,	2.526008e-05,	8.413495363367917e-10,	3.949581e-11,	1.3090498079502163e-13
15.0,	2.58531e-05,	1.263680931951572e-09,	5.771572e-11,	9.494385182098484e-14
16.0,	2.653912e-05,	6.837787369149866e-10,	8.16788e-11,	3.0030835421004727e-13
17.0,	2.731657e-05,	1.5984726308046115e-09,	1.132334e-10,	5.356910928347475e-13
18.0,	2.818082e-05,	1.3208446244338714e-09,	1.534578e-10,	4.548402199811292e-13
19.0,	2.92222e-05,	1.073384873185857e-08,	2.044006e-10,	2.858430601602802e-13
20.0,	3.046091e-05,	1.5103764091496325e-08,	2.694441e-10,	1.7627725610549137e-13
21.0,	3.182998e-05,	1.2303645116421644e-08,	3.527229e-10,	8.51317294658117e-14
22.0,	3.340402e-05,	1.4695989707021127e-08,	4.61372e-10,	1.5763075637095657e-13
23.0,	3.521488e-05,	4.765468610716862e-08,	6.041244e-10,	4.072849480377005e-14
24.0,	3.711511e-05,	2.325132123668805e-08,	7.942259e-10,	1.1744414799515224e-13
25.0,	3.908462e-05,	2.388616789505218e-08,	1.04805e-09,	1.755087347354954e-13
26.0,	4.089581e-05,	1.5574209777710753e-08,	1.385076e-09,	1.7638298861580466e-13
26.2,	4.134177e-05,	2.0292040383151754e-08,	1.463237e-09,	7.664114920602589e-12
26.4,	4.197762e-05,	5.931747587481254e-08,	1.543071e-09,	6.386387702223529e-12
26.6,	4.265677e-05,	3.171714535382179e-08,	1.623985e-09,	9.975111842935101e-14
26.8,	4.287609e-05,	3.585760527848287e-08,	1.702054e-09,	2.71013534462476e-13
27.0,	4.331278e-05,	4.799751035241522e-08,	1.76662e-09,	1.3616632089636772e-13
27.2,	4.377192e-05,	3.034954324969922e-08,	1.804285e-09,	7.646266953386495e-14
27.4,	4.402003e-05,	3.5390274897409566e-08,	1.819408e-09,	5.937512539833434e-14
27.6,	4.490116e-05,	6.005457052957284e-08,	1.828125e-09,	6.280563535168469e-14
27.8,	4.493762e-05,	4.725162349916606e-08,	1.834351e-09,	5.2947781108118846e-14
28.0,	4.510083e-05,	3.2103153204714846e-08,	1.838861e-09,	5.6270155959815785e-14
29.0,	4.710016e-05,	5.7152819359041756e-08,	1.855943e-09,	7.64685388257712e-14
30.0,	4.873885e-05,	4.5524472860782704e-08,	1.871387e-09,	4.553950037546518e-14
END
