Measurement done: 2024-08-23 15:58:29.001982
Sourcemeter: Keithley 6487
Currentmeter: Keithley 6487

Comments: 
J9
Everything but broken pixel 00 is grounded

Number of points for median: 5
Hardware compliance: 250E-6
Software compliance used: True, value: 100μA
Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
BEGIN
1.0,	1.579079e-05,	2.6434232657954602e-09,	-4.706341e-11,	4.192105495439697e-12
2.0,	2.400091e-05,	8.272249508993116e-09,	9.343713e-13,	3.4060719180971064e-13
3.0,	2.423916e-05,	4.260983270680911e-09,	9.590726e-12,	7.245380491266245e-12
4.0,	2.430211e-05,	2.6331741850119137e-09,	3.454988e-12,	1.2279876422525114e-12
5.0,	2.434668e-05,	2.024319668381569e-09,	5.148085e-12,	8.070998451985521e-13
6.0,	2.439317e-05,	1.4159404076800185e-09,	6.245604e-12,	6.84157619930137e-13
7.0,	2.445033e-05,	1.0600781311519051e-09,	5.695131e-12,	4.2613112365019247e-13
8.0,	2.452808e-05,	1.0207786683590297e-09,	6.304195e-12,	3.027570467510329e-13
9.0,	2.463108e-05,	1.2779401044759645e-09,	8.407221e-12,	1.2001551785472957e-13
10.0,	2.477264e-05,	1.639623418664995e-09,	1.055596e-11,	2.659510360719363e-13
11.0,	2.497127e-05,	2.0047085503298517e-09,	1.424758e-11,	1.8931661955274176e-13
12.0,	2.52597e-05,	8.976959451584986e-10,	2.014915e-11,	2.044084673774095e-13
13.0,	2.562924e-05,	1.003829627984831e-09,	2.935678e-11,	2.662035549244341e-13
14.0,	2.610422e-05,	2.2159290672500356e-09,	4.178287e-11,	2.7733577236834986e-13
15.0,	2.667809e-05,	7.561985752416868e-10,	5.883218e-11,	2.605213024614545e-13
16.0,	2.734572e-05,	2.1298271254907383e-09,	8.30048e-11,	1.1807244210731605e-13
17.0,	2.80978e-05,	6.351337326010567e-10,	1.14211e-10,	1.3607966688619893e-13
18.0,	2.8957e-05,	1.0753765002794692e-09,	1.546134e-10,	2.067922607769769e-13
19.0,	2.996195e-05,	6.967548970693309e-09,	2.070459e-10,	2.1606520360839628e-13
20.0,	3.117269e-05,	1.3874921095640662e-08,	2.751805e-10,	2.057482626626968e-13
21.0,	3.278555e-05,	2.1480793198093043e-08,	3.622891e-10,	3.3568141838157974e-13
22.0,	3.463045e-05,	3.400277259987252e-08,	4.768058e-10,	2.1470218427277037e-13
23.0,	3.65995e-05,	1.7051359532620392e-08,	6.287406e-10,	1.527305659950267e-13
24.0,	3.87235e-05,	3.468071281430957e-08,	8.335664e-10,	2.2053712353293063e-13
25.0,	4.082232e-05,	5.919092543649808e-08,	1.109256e-09,	2.2035500990487134e-13
26.0,	4.31176e-05,	6.771378210875327e-08,	1.478893e-09,	8.694082946723874e-14
26.2,	4.303749e-05,	5.071795211095499e-08,	1.563515e-09,	7.76686426765916e-12
26.4,	4.365771e-05,	7.731026381301471e-08,	1.650414e-09,	6.3564989858547265e-12
26.6,	4.441539e-05,	7.501982712257612e-08,	1.739221e-09,	3.4033382180711915e-13
26.8,	4.466512e-05,	4.939522225447078e-08,	1.827129e-09,	1.4817193230785648e-13
27.0,	4.468612e-05,	5.326089610934007e-08,	1.906928e-09,	1.4907753396926488e-13
27.2,	4.506021e-05,	4.906325568129505e-08,	1.961647e-09,	6.793196898118807e-13
27.4,	4.548685e-05,	7.085926864862345e-08,	1.986311e-09,	1.1572861416727212e-13
27.6,	4.581868e-05,	6.497497529073527e-08,	1.997571e-09,	1.2916013972364645e-13
27.8,	4.652085e-05,	5.259282962856634e-08,	2.004855e-09,	1.3224331683974305e-13
28.0,	4.704197e-05,	4.93630824446501e-08,	2.009777e-09,	1.422756429771004e-13
29.0,	4.870482e-05,	4.250059794681236e-08,	2.027669e-09,	7.426717604764575e-14
30.0,	5.026064e-05,	9.96908335737743e-08,	2.04419e-09,	9.583949645627358e-14
END
