Voltage [V],Capacitance [F],Conductivity [S],Bias Voltage [V],Pad Current [A],InverseCSquare,Ascending,Descending,Is Coarse
0.0,5.0678e-12,1.244735e-06,0.0,-1.30864e-07,3.8936872553422055e+22,True,False,True
10.0,5.8333e-12,9.336571e-07,10.0,3.149049e-06,2.9388090964977943e+22,True,False,True
20.0,6.1154e-12,7.996931e-07,20.0,4.363433e-06,2.67393140601627e+22,True,False,True
30.0,5.9829e-12,5.085201e-07,30.0,6.134235e-06,2.793679056743075e+22,True,False,True
35.0,5.6652e-12,3.926851e-07,35.0,7.400425e-06,3.115799526945856e+22,True,False,True
40.0,5.3799e-12,3.260521e-07,40.0,8.888857e-06,3.4550281773250972e+22,True,False,True
45.0,5.0245e-12,2.806191e-07,45.0,1.063067e-05,3.961086249078194e+22,True,False,True
50.0,4.5899e-12,2.346621e-07,50.0,1.251439e-05,4.746719326416452e+22,True,False,True
55.0,4.191e-12,1.780191e-07,55.0,1.4357e-05,5.693307989003489e+22,True,False,True
65.0,3.9407e-12,9.19316e-08,65.0,1.775141e-05,6.4395163797241884e+22,True,False,True
65.0,3.9397e-12,9.20514e-08,65.0,1.772522e-05,6.442785833560501e+22,False,True,True
55.0,4.1775e-12,1.775751e-07,55.0,1.410326e-05,5.730164409160957e+22,False,True,True
50.0,4.5826e-12,2.344181e-07,50.0,1.234566e-05,4.761854249968917e+22,False,True,True
45.0,5.0214e-12,2.805721e-07,45.0,1.049381e-05,3.965978573032945e+22,False,True,True
40.0,5.3748e-12,3.252521e-07,40.0,8.724339e-06,3.4615880506512194e+22,False,True,True
35.0,5.662e-12,3.918691e-07,35.0,7.254126e-06,3.1193224432380012e+22,False,True,True
30.0,5.9753e-12,5.077091e-07,30.0,5.977442e-06,2.8007901518596512e+22,False,True,True
20.0,6.0985e-12,7.901941e-07,20.0,4.088065e-06,2.6887717945203755e+22,False,True,True
10.0,5.7945e-12,9.222311e-07,10.0,2.916219e-06,2.9782974221771067e+22,False,True,True
0.0,5.2129e-12,1.223035e-06,0.0,-2.628213e-07,3.6799440211037047e+22,False,True,True
0.0,5.0699e-12,1.245125e-06,0.0,-1.313052e-07,3.890462320020225e+22,True,False,False
1.0,5.5424e-12,1.145985e-06,1.0,1.217318e-06,3.255399316759916e+22,True,False,False
2.0,5.6288e-12,1.098915e-06,2.0,1.636266e-06,3.156227972053738e+22,True,False,False
3.0,5.6721e-12,1.064655e-06,3.0,1.932989e-06,3.108223518001444e+22,True,False,False
4.0,5.6952e-12,1.034365e-06,4.0,2.164559e-06,3.0830604504196423e+22,True,False,False
5.0,5.7136e-12,1.009735e-06,5.0,2.363662e-06,3.0632351323211707e+22,True,False,False
6.0,5.7308e-12,9.895031e-07,6.0,2.545681e-06,3.044875190298001e+22,True,False,False
7.0,5.7447e-12,9.696321e-07,7.0,2.703473e-06,3.030158125386785e+22,True,False,False
8.0,5.7576e-12,9.503281e-07,8.0,2.855333e-06,3.01659509565541e+22,True,False,False
9.0,5.7723e-12,9.339181e-07,9.0,2.999496e-06,3.0012502647369093e+22,True,False,False
10.0,5.7928e-12,9.182301e-07,10.0,3.143236e-06,2.9800457471829127e+22,True,False,False
11.0,5.8093e-12,9.025441e-07,11.0,3.27046e-06,2.9631414986035205e+22,True,False,False
12.0,5.8288e-12,8.881391e-07,12.0,3.394437e-06,2.9433485371491836e+22,True,False,False
13.0,5.8505e-12,8.729961e-07,13.0,3.517988e-06,2.9215547716910493e+22,True,False,False
14.0,5.8782e-12,8.595351e-07,14.0,3.638132e-06,2.8940850055116287e+22,True,False,False
15.0,5.913e-12,8.468621e-07,15.0,3.757824e-06,2.8601199151036324e+22,True,False,False
16.0,5.9411e-12,8.327251e-07,16.0,3.869149e-06,2.833128514337798e+22,True,False,False
17.0,5.9846e-12,8.216021e-07,17.0,3.992436e-06,2.792092123663471e+22,True,False,False
18.0,6.0229e-12,8.099041e-07,18.0,4.104362e-06,2.756694850465157e+22,True,False,False
19.0,6.0542e-12,7.987521e-07,19.0,4.218e-06,2.7282645030085727e+22,True,False,False
20.0,6.0902e-12,7.895341e-07,20.0,4.334169e-06,2.696105548114909e+22,True,False,False
21.0,6.1136e-12,7.773131e-07,21.0,4.458312e-06,2.6755061852223568e+22,True,False,False
22.0,6.1374e-12,7.617411e-07,22.0,4.576684e-06,2.6547959229755307e+22,True,False,False
23.0,6.1558e-12,7.384701e-07,23.0,4.729219e-06,2.638949001361583e+22,True,False,False
24.0,6.179e-12,7.105981e-07,24.0,4.879745e-06,2.619169528916954e+22,True,False,False
25.0,6.1874e-12,6.747801e-07,25.0,5.060791e-06,2.6120627991845626e+22,True,False,False
26.0,6.177e-12,6.377631e-07,26.0,5.241328e-06,2.6208658821943327e+22,True,False,False
27.0,6.1456e-12,6.015901e-07,27.0,5.446742e-06,2.647716124975861e+22,True,False,False
28.0,6.0896e-12,5.669381e-07,28.0,5.642475e-06,2.696636861508877e+22,True,False,False
29.0,6.0277e-12,5.333151e-07,29.0,5.856481e-06,2.7523061560207844e+22,True,False,False
30.0,5.9593e-12,5.029081e-07,30.0,6.073375e-06,2.815849907432693e+22,True,False,False
31.0,5.8932e-12,4.752991e-07,31.0,6.310689e-06,2.879371088596088e+22,True,False,False
32.0,5.8244e-12,4.492831e-07,32.0,6.549455e-06,2.947797278764289e+22,True,False,False
33.0,5.7614e-12,4.265641e-07,33.0,6.794239e-06,3.0126171454821345e+22,True,False,False
