tag1,tag2,gainLayerDepletionVoltage,fullDepletionVoltage
allData,allData,33.30846750612062,78.94766293502728
ascending,ascending,32.513518336925436,80.1097792242627
descending,descending,33.14706011485397,79.8740418879041
