row0,col0,row1,col1,res1,err1,row2,col2,res2,err2,row3,col3,res3,err3
1,9,0,8,47.10919873424703,4.41591091631838,0,7,52.152031124256396,3.941577749388208,0,8,64.75003710003614,2.4006687659568233
1,9,0,8,41.97905360369826,6.124980334803264,0,8,63.21835308708689,4.063859731559412,0,8,73.36617841897085,3.855004475550899
1,10,0,9,39.89299341722838,4.659242788621811,0,8,59.252121369142095,3.4484813256875384,0,9,66.32503317488658,3.048828614100617
1,10,0,9,57.92789593354929,5.5486029424177055,0,9,56.134427259126184,8.35893173976792,0,9,76.70805877835932,5.653880197241493
1,11,0,10,40.6840055659841,3.378328751173571,0,9,51.9206699574593,3.219693805114142,0,10,60.49795987437784,3.629488192809468
1,11,0,10,45.81968395252892,4.117029328796831,0,10,48.94389716007339,4.068527721324428,0,10,90.16280717646428,2.502936879770528
1,12,0,11,47.91816169121273,2.9998374268180763,0,10,44.52886725255805,3.6291039479886233,0,11,61.32835207813546,3.5496820398819455
1,12,0,11,44.806637808448215,3.088272479574705,0,11,46.95585211606705,3.027548359331802,0,11,64.83010747009611,1.6731643297170358
1,13,0,12,49.919602457930544,4.681160168589739,0,11,45.3629583497694,4.995180927286128,0,12,69.56741846864215,3.1602523990362457
1,13,0,12,43.84623133203852,3.4674008880663587,0,12,50.57177013858369,2.7360507415119852,0,12,65.44396902118282,1.984402262047921
1,14,0,13,45.07348673491593,2.808197936224908,0,12,51.24674373163813,2.8265609066721282,0,13,61.63105626795661,2.6429858816393415
1,14,0,13,41.137869587532926,3.32972480522245,0,13,50.69862559488324,2.7642520808138693,0,13,69.4236269749962,2.0721031317286194
2,3,1,2,53.65112394686107,3.0321436552046386,0,2,41.4171450943023,5.507379087758626,0,2,74.24723692460242,3.8260300483981995
2,3,1,2,42.32945545111473,1.5440687109122173,0,2,45.56726646478877,1.7030288652340109,1,2,77.29710364634451,1.2293309559877281
2,4,1,3,53.09545640086116,4.169870398254343,0,2,40.98576521101824,5.7911153152306145,0,3,76.87496962043042,3.051266870305393
2,4,1,3,44.81798963625993,1.3889072742042092,0,2,45.839933518487314,1.3385943976465935,1,3,63.665721906075476,1.0927265915562825
2,4,1,3,53.40390078893172,2.494885621849851,0,3,34.33228188656803,4.697887141570244,0,3,78.8012244988889,3.3358765577104474
