Voltage [V],Capacitance [F],Conductivity [S],Bias Voltage [V],Pad Current [A],InverseCSquare,Ascending,Descending,Is Coarse
0.0,6.0392e-11,8.597022e-07,0.0,-2.658387e-07,2.7418341117188342e+20,True,False,True
10.0,7.7904e-11,3.419052e-07,10.0,3.15267e-06,1.6477088926843663e+20,True,False,True
20.0,6.0928e-11,2.501392e-07,20.0,4.359563e-06,2.693805003619095e+20,True,False,True
30.0,2.72815e-11,2.179002e-07,30.0,6.13614e-06,1.3435799356663632e+21,True,False,True
35.0,2.06588e-11,1.703752e-07,35.0,7.400226e-06,2.3430945699634723e+21,True,False,True
40.0,1.722e-11,1.392492e-07,40.0,8.892071e-06,3.3723582631545584e+21,True,False,True
45.0,1.51373e-11,1.194752e-07,45.0,1.063062e-05,4.364185115511039e+21,True,False,True
50.0,1.33387e-11,1.026532e-07,50.0,1.249617e-05,5.620474607389038e+21,True,False,True
55.0,1.12199e-11,8.329592e-08,55.0,1.434809e-05,7.943685244631374e+21,True,False,True
65.0,7.5113e-12,4.507762e-08,65.0,1.767014e-05,1.7724328233687432e+22,True,False,True
65.0,7.5184e-12,4.508882e-08,65.0,1.766523e-05,1.7690868106352717e+22,False,True,True
55.0,1.11984e-11,8.305252e-08,55.0,1.41596e-05,7.974216960474076e+21,False,True,True
50.0,1.33334e-11,1.026182e-07,50.0,1.237586e-05,5.624943750421872e+21,False,True,True
45.0,1.51398e-11,1.192732e-07,45.0,1.049416e-05,4.3627439390121305e+21,False,True,True
40.0,1.71865e-11,1.386012e-07,40.0,8.767359e-06,3.3855179066563436e+21,False,True,True
35.0,2.06354e-11,1.696342e-07,35.0,7.278171e-06,2.3484115979760246e+21,False,True,True
30.0,2.7281e-11,2.170152e-07,30.0,6.01809e-06,1.3436291857762592e+21,False,True,True
20.0,6.0471e-11,2.465872e-07,20.0,4.157075e-06,2.7346748648970325e+20,False,True,True
10.0,7.7027e-11,3.356262e-07,10.0,2.928194e-06,1.6854428571280513e+20,False,True,True
0.0,7.2464e-11,7.988472e-07,0.0,-3.591641e-07,1.904387811898503e+20,False,True,True
0.0,6.063e-11,8.621572e-07,0.0,-2.66624e-07,2.7203504986633693e+20,True,False,False
1.0,9.8434e-11,5.470222e-07,1.0,1.208462e-06,1.0320713748164038e+20,True,False,False
2.0,9.5187e-11,4.791942e-07,2.0,1.628282e-06,1.103683935186625e+20,True,False,False
3.0,9.1925e-11,4.424452e-07,3.0,1.925589e-06,1.1834031553522108e+20,True,False,False
4.0,8.919e-11,4.172832e-07,4.0,2.165612e-06,1.2570937643988304e+20,True,False,False
5.0,8.6703e-11,3.969112e-07,5.0,2.368007e-06,1.3302453533835087e+20,True,False,False
6.0,8.439e-11,3.805952e-07,6.0,2.545578e-06,1.404164620272253e+20,True,False,False
7.0,8.2315e-11,3.664812e-07,7.0,2.707793e-06,1.4758493724369315e+20,True,False,False
8.0,8.04e-11,3.545622e-07,8.0,2.860699e-06,1.5469914111036857e+20,True,False,False
9.0,7.85e-11,3.422872e-07,9.0,3.003547e-06,1.6227838857560143e+20,True,False,False
10.0,7.6682e-11,3.322262e-07,10.0,3.144318e-06,1.7006429262215637e+20,True,False,False
11.0,7.5009e-11,3.218142e-07,11.0,3.264678e-06,1.777351187898825e+20,True,False,False
12.0,7.328e-11,3.127472e-07,12.0,3.395735e-06,1.8622118189965866e+20,True,False,False
13.0,7.1653e-11,3.036172e-07,13.0,3.520562e-06,1.947741166092056e+20,True,False,False
14.0,6.9987e-11,2.943552e-07,14.0,3.638348e-06,2.0415745552376395e+20,True,False,False
15.0,6.8342e-11,2.855332e-07,15.0,3.755788e-06,2.1410392641071284e+20,True,False,False
16.0,6.6646e-11,2.767292e-07,16.0,3.875223e-06,2.251395648943223e+20,True,False,False
17.0,6.5121e-11,2.679272e-07,17.0,3.999028e-06,2.358076433869389e+20,True,False,False
18.0,6.3455e-11,2.588552e-07,18.0,4.10267e-06,2.4835236675862924e+20,True,False,False
19.0,6.1957e-11,2.502072e-07,19.0,4.220155e-06,2.6050690456239863e+20,True,False,False
20.0,6.0297e-11,2.430862e-07,20.0,4.338183e-06,2.7504806259295384e+20,True,False,False
21.0,5.7726e-11,2.413672e-07,21.0,4.456532e-06,3.000938324992831e+20,True,False,False
22.0,5.4004e-11,2.476552e-07,22.0,4.575722e-06,3.428847285017598e+20,True,False,False
23.0,4.9378e-11,2.567442e-07,23.0,4.725573e-06,4.101408331585464e+20,True,False,False
24.0,4.46379e-11,2.625802e-07,24.0,4.886737e-06,5.0187144942347236e+20,True,False,False
25.0,4.02333e-11,2.629612e-07,25.0,5.064861e-06,6.177726664208844e+20,True,False,False
26.0,3.64516e-11,2.577832e-07,26.0,5.237388e-06,7.526044955394655e+20,True,False,False
27.0,3.34573e-11,2.486822e-07,27.0,5.430743e-06,8.933429592772664e+20,True,False,False
28.0,3.10292e-11,2.377822e-07,28.0,5.653973e-06,1.0386251690121294e+21,True,False,False
29.0,2.88567e-11,2.257682e-07,29.0,5.868231e-06,1.2008995195328308e+21,True,False,False
30.0,2.70055e-11,2.145662e-07,30.0,6.07623e-06,1.3711834253009426e+21,True,False,False
31.0,2.53627e-11,2.036122e-07,31.0,6.308711e-06,1.55456551874897e+21,True,False,False
32.0,2.38884e-11,1.935032e-07,32.0,6.553948e-06,1.7523702639397183e+21,True,False,False
33.0,2.26048e-11,1.843102e-07,33.0,6.808767e-06,1.9570353131184359e+21,True,False,False
34.0,2.14554e-11,1.755932e-07,34.0,7.053788e-06,2.172334846179384e+21,True,False,False
35.0,2.04556e-11,1.675122e-07,35.0,7.319623e-06,2.389877027562159e+21,True,False,False
35.5,2.00043e-11,1.637722e-07,35.5,7.457537e-06,2.498925346588143e+21,True,False,False
36.0,1.95725e-11,1.600252e-07,36.0,7.587026e-06,2.6104020180626445e+21,True,False,False
36.5,1.91892e-11,1.567282e-07,36.5,7.737863e-06,2.7157279457768144e+21,True,False,False
37.0,1.88244e-11,1.534602e-07,37.0,7.874756e-06,2.822004583539579e+21,True,False,False
37.5,1.84906e-11,1.504292e-07,37.5,8.020378e-06,2.92481224620254e+21,True,False,False
38.0,1.81598e-11,1.472942e-07,38.0,8.162309e-06,3.0323398801997305e+21,True,False,False
38.5,1.78724e-11,1.447382e-07,38.5,8.321456e-06,3.130648063218489e+21,True,False,False
39.0,1.75811e-11,1.419452e-07,39.0,8.482088e-06,3.235250489999222e+21,True,False,False
39.5,1.73283e-11,1.395512e-07,39.5,8.61827e-06,3.33033624285718e+21,True,False,False
40.0,1.70597e-11,1.370182e-07,40.0,8.784731e-06,3.436032164651601e+21,True,False,False
40.5,1.68215e-11,1.347792e-07,40.5,8.961252e-06,3.5340326714552804e+21,True,False,False
41.0,1.65962e-11,1.326172e-07,41.0,9.120326e-06,3.6306357547555514e+21,True,False,False
41.5,1.6377e-11,1.306152e-07,41.5,9.282233e-06,3.7284755711156777e+21,True,False,False
42.0,1.61704e-11,1.286432e-07,42.0,9.445882e-06,3.824357418800222e+21,True,False,False
42.5,1.59648e-11,1.267002e-07,42.5,9.620365e-06,3.923494385583742e+21,True,False,False
43.0,1.57618e-11,1.249092e-07,43.0,9.792909e-06,4.0252084436441367e+21,True,False,False
