tag1,tag2,gainLayerDepletionVoltage,fullDepletionVoltage
allData,allData,31.193993988807215,76.69650020401669
ascending,ascending,31.019423120475793,76.77310781321584
descending,descending,31.702840726535744,76.5724447457464
