tag1,tag2,gainLayerDepletionVoltage,fullDepletionVoltage
allData,allData,35.65872657910519,79.18268666091025
ascending,ascending,35.50067857682027,79.2775095309096
descending,descending,35.83081612416055,78.96737024527867
