Voltage [V],Capacitance [F],Conductivity [S],Bias Voltage [V],Pad Current [A],InverseCSquare,Ascending,Descending,Is Coarse
0.0,8.2813e-11,7.706072e-07,0.0,-3.003859e-07,1.4581525593862126e+20,True,False,True
10.0,9.8731e-11,2.402183e-07,10.0,3.153717e-06,1.0258714141597363e+20,True,False,True
20.0,7.4799e-11,1.790493e-07,20.0,4.357242e-06,1.7873451101406128e+20,True,False,True
30.0,3.42122e-11,1.914373e-07,30.0,6.128736e-06,8.543542724980301e+20,True,False,True
35.0,2.5455e-11,1.514953e-07,35.0,7.396657e-06,1.543312228152785e+21,True,False,True
40.0,2.0848e-11,1.243612e-07,40.0,8.885497e-06,2.300759390485031e+21,True,False,True
45.0,1.81136e-11,1.067353e-07,45.0,1.064263e-05,3.0478279954671883e+21,True,False,True
50.0,1.58905e-11,9.155105e-08,50.0,1.250256e-05,3.9602707186015467e+21,True,False,True
55.0,1.3341e-11,7.390395e-08,55.0,1.434298e-05,5.618536825022486e+21,True,False,True
65.0,8.6857e-12,3.987295e-08,65.0,1.766814e-05,1.3255324073917984e+22,True,False,True
65.0,8.6843e-12,3.996895e-08,65.0,1.763808e-05,1.3259598212197712e+22,False,True,True
55.0,1.33333e-11,7.373625e-08,55.0,1.415825e-05,5.62502812510547e+21,False,True,True
50.0,1.58946e-11,9.152605e-08,50.0,1.238552e-05,3.958227884460245e+21,False,True,True
45.0,1.81116e-11,1.065233e-07,45.0,1.052097e-05,3.0485011543876384e+21,False,True,True
40.0,2.08126e-11,1.237453e-07,40.0,8.770902e-06,2.3085927364992924e+21,False,True,True
35.0,2.5403e-11,1.506123e-07,35.0,7.287402e-06,1.5496370223991772e+21,False,True,True
30.0,3.4182e-11,1.904742e-07,30.0,6.022869e-06,8.558645935394115e+20,False,True,True
20.0,7.4114e-11,1.762663e-07,20.0,4.15695e-06,1.820536932282789e+20,False,True,True
10.0,9.7383e-11,2.352192e-07,10.0,2.963952e-06,1.0544687199709485e+20,False,True,True
0.0,9.8028e-11,6.998292e-07,0.0,-3.789243e-07,1.0406380843744995e+20,False,True,True
0.0,8.2977e-11,7.708542e-07,0.0,-3.011814e-07,1.4523943203946396e+20,True,False,False
1.0,1.31518e-10,4.008913e-07,1.0,1.206434e-06,5.781354606493311e+19,True,False,False
2.0,1.24651e-10,3.433202e-07,2.0,1.628015e-06,6.435887828187904e+19,True,False,False
3.0,1.19274e-10,3.135873e-07,3.0,1.925434e-06,7.0292409724180095e+19,True,False,False
4.0,1.14734e-10,2.939153e-07,4.0,2.160016e-06,7.596538276832841e+19,True,False,False
5.0,1.10976e-10,2.789942e-07,5.0,2.360797e-06,8.119735189686159e+19,True,False,False
6.0,1.07736e-10,2.668462e-07,6.0,2.543337e-06,8.61545673370286e+19,True,False,False
7.0,1.04684e-10,2.565262e-07,7.0,2.709617e-06,9.12513676882741e+19,True,False,False
8.0,1.01847e-10,2.473612e-07,8.0,2.855916e-06,9.640587884711246e+19,True,False,False
9.0,9.9218e-11,2.392783e-07,9.0,2.993884e-06,1.01582538892223e+20,True,False,False
10.0,9.6792e-11,2.317813e-07,10.0,3.130918e-06,1.0673849439810082e+20,True,False,False
11.0,9.4327e-11,2.248273e-07,11.0,3.261666e-06,1.1239007357163122e+20,True,False,False
12.0,9.2052e-11,2.183222e-07,12.0,3.388434e-06,1.1801400317907822e+20,True,False,False
13.0,8.9669e-11,2.120133e-07,13.0,3.511451e-06,1.2436991772910415e+20,True,False,False
14.0,8.7423e-11,2.060363e-07,14.0,3.637144e-06,1.3084242624377337e+20,True,False,False
15.0,8.513e-11,2.002683e-07,15.0,3.75031e-06,1.3798590719572912e+20,True,False,False
16.0,8.2859e-11,1.944842e-07,16.0,3.878461e-06,1.4565339929287526e+20,True,False,False
17.0,8.0559e-11,1.885703e-07,17.0,3.989352e-06,1.5408908166030872e+20,True,False,False
18.0,7.8305e-11,1.826243e-07,18.0,4.105689e-06,1.630876264802134e+20,True,False,False
19.0,7.6065e-11,1.767942e-07,19.0,4.218959e-06,1.7283442964156442e+20,True,False,False
20.0,7.3684e-11,1.729753e-07,20.0,4.334434e-06,1.8418472595203247e+20,True,False,False
21.0,7.0292e-11,1.755302e-07,21.0,4.451079e-06,2.0238960336070882e+20,True,False,False
22.0,6.5826e-11,1.872502e-07,22.0,4.569123e-06,2.3078366667813847e+20,True,False,False
23.0,6.0636e-11,2.025862e-07,23.0,4.716897e-06,2.7198121618520093e+20,True,False,False
24.0,5.5324e-11,2.146592e-07,24.0,4.878813e-06,3.2671784413312064e+20,True,False,False
25.0,5.0174e-11,2.204863e-07,25.0,5.056407e-06,3.9723046534139635e+20,True,False,False
26.0,4.56906e-11,2.200313e-07,26.0,5.241748e-06,4.79011872460416e+20,True,False,False
27.0,4.19813e-11,2.145973e-07,27.0,5.432317e-06,5.6739856647086604e+20,True,False,False
28.0,3.88471e-11,2.063643e-07,28.0,5.643006e-06,6.626478495265693e+20,True,False,False
29.0,3.61425e-11,1.972753e-07,29.0,5.866268e-06,7.655324781483898e+20,True,False,False
30.0,3.37334e-11,1.879353e-07,30.0,6.083479e-06,8.78779197747868e+20,True,False,False
31.0,3.16454e-11,1.792662e-07,31.0,6.307044e-06,9.985707046492652e+20,True,False,False
32.0,2.97082e-11,1.707032e-07,32.0,6.545426e-06,1.133045426257869e+21,True,False,False
33.0,2.80009e-11,1.629542e-07,33.0,6.808035e-06,1.275428210950346e+21,True,False,False
34.0,2.64621e-11,1.555923e-07,34.0,7.054122e-06,1.4280762198645484e+21,True,False,False
35.0,2.51164e-11,1.485323e-07,35.0,7.318814e-06,1.5852042137717823e+21,True,False,False
35.5,2.45401e-11,1.455423e-07,35.5,7.467943e-06,1.66053236120089e+21,True,False,False
36.0,2.39975e-11,1.425062e-07,36.0,7.593904e-06,1.73647285744781e+21,True,False,False
