Measurement done: 2025-07-22 19:42:09.488798
Voltage SourceMeter: Keithley 2410
Pad Currentmeter:    Keithley 6487

Comments: 
Enter comments here

Number of points for median: 5
Hardware compliance: 5E-6
Software compliance used: False, value: 25μA
Set voltage (V), 	 Measured voltage (V), 	 σ_voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
71.0,	71.02653,	0.0004002024286179287,	7.824762e-08,	1.3514851188467578e-10,	8.492738e-10,	2.4987740933474552e-11
73.0,	73.01244,	0.000258535346321547,	7.969236e-08,	1.1276908420339702e-10,	8.854439e-10,	2.6137193282532868e-11
75.0,	75.01802,	0.00028630792988239566,	8.11612e-08,	1.9957611486906226e-10,	9.219018e-10,	2.5097243433428257e-11
77.0,	77.02055,	0.000445743071493662,	8.306456e-08,	1.5576261683119223e-10,	9.426063e-10,	2.8024641678550526e-11
79.0,	79.02252,	0.0005320264208678846,	8.491376e-08,	8.538969956208262e-11,	9.762298e-10,	2.960127118461216e-11
81.0,	81.02869,	0.0002886216741719459,	8.708623e-08,	1.1766719239927742e-10,	9.927847e-10,	3.068219544124453e-11
83.0,	83.01292,	0.0005492597244708175,	8.930981e-08,	1.9804336024044201e-10,	1.017042e-09,	3.1828075282013893e-11
85.0,	85.0162,	0.00043310922380938584,	9.169587e-08,	1.9109338997854985e-10,	1.042696e-09,	3.268469105308729e-11
87.0,	87.01935,	0.00034513016654238993,	9.371476e-08,	1.7623607930915684e-10,	1.055595e-09,	3.338857890919612e-11
89.0,	89.02186,	0.00026064457549886767,	9.677722e-08,	8.341466659119404e-11,	1.073937e-09,	3.294693768146517e-11
90.0,	90.02505,	0.0005836223658269318,	9.873116e-08,	1.797505912566726e-10,	9.63331e-10,	2.3735583413971623e-11
90.25,	90.26574,	0.00010441371608018627,	9.85869e-08,	1.1480050331659545e-10,	8.210317e-10,	1.450440559532708e-11
90.5,	90.52587,	0.0002591422091511478,	9.919785e-08,	1.0691962142501028e-10,	7.38051e-10,	9.389545482265666e-12
90.75,	90.76664,	0.0003860602816580392,	9.962004e-08,	1.8192176791346692e-10,	6.756102e-10,	8.324889609812248e-12
91.0,	91.00707,	0.0003242407311800358,	1.000875e-07,	1.5408040600610722e-10,	6.399533e-10,	5.325520404693409e-12
91.25,	91.26707,	0.00024092336098501077,	1.003821e-07,	9.555903763993884e-11,	6.093082e-10,	4.778468173939943e-12
91.5,	91.50852,	0.0003824371744288869,	1.005746e-07,	1.837302417206081e-10,	5.804088e-10,	4.030590910365471e-12
91.75,	91.76849,	0.0003897280159546819,	1.008324e-07,	1.5991152623576192e-10,	5.70714e-10,	3.942184948153264e-12
92.0,	92.00931,	0.0004103264845011922,	1.014021e-07,	2.387019007298717e-10,	5.543439e-10,	3.9956405283309275e-12
92.25,	92.26967,	9.381814865845848e-05,	1.019821e-07,	8.531458219834732e-11,	5.215419e-10,	5.975466560869131e-12
92.5,	92.51065,	0.0003405827017774345,	1.024831e-07,	1.4400095463061648e-10,	4.953125e-10,	8.0750408733689e-12
92.75,	92.77055,	0.0006812022992325685,	1.027785e-07,	1.8669488691480848e-10,	4.504128e-10,	9.40602920557689e-12
93.0,	93.01148,	0.0005056630534973483,	1.030025e-07,	1.216122335581137e-10,	4.273672e-10,	1.0328888821099592e-11
93.25,	93.27135,	0.0003013558780470019,	1.032512e-07,	1.4985074156676706e-10,	4.29873e-10,	1.2009729952733927e-11
93.5,	93.51173,	0.00034884228217593976,	1.040721e-07,	1.9704174093083518e-10,	4.190486e-10,	1.0548641496293563e-11
93.75,	93.77097,	0.00027612922934873847,	1.041552e-07,	1.3255016389774444e-10,	4.250874e-10,	1.120008869880147e-11
94.0,	94.01361,	0.000162116213076329,	1.048087e-07,	1.742472884090936e-10,	4.139548e-10,	1.3345241446264821e-11
