Measurement done: 2025-07-22 17:36:20.892561
Voltage SourceMeter: Keithley 2410
Pad Currentmeter:    Keithley 6487

Comments: 
Enter comments here

Number of points for median: 5
Hardware compliance: 5E-6
Software compliance used: False, value: 25μA
Set voltage (V), 	 Measured voltage (V), 	 σ_voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
47.25,	47.26888,	0.0003928592224830321,	5.703678e-08,	3.2701403024790913e-10,	2.914607e-10,	2.6209608845906865e-12
47.5,	47.50975,	0.0005757112214835399,	5.861457e-08,	2.6388786035369947e-10,	2.848376e-10,	2.0218009038125916e-12
47.75,	47.76934,	0.00038366973476723783,	5.977124e-08,	1.4754708278836432e-10,	2.752694e-10,	1.733157049834517e-12
48.0,	48.01119,	0.0006852080884519875,	6.055226e-08,	1.881296496778054e-10,	2.751656e-10,	2.194257524110661e-12
48.25,	48.27121,	0.00028577761042965536,	6.084036e-08,	1.6056023290900846e-10,	2.697789e-10,	2.4635365356106797e-12
48.5,	48.51075,	0.0005048849650286689,	6.114497e-08,	1.7269591514178758e-10,	2.672082e-10,	2.260647903159367e-12
48.75,	48.77084,	0.0005453005063816756,	6.163721e-08,	1.6939004960927512e-10,	2.612709e-10,	1.6602861768863892e-12
49.0,	49.0128,	0.0007659227601959317,	6.14025e-08,	1.3960433169024095e-10,	2.582065e-10,	2.1851446237708298e-12
49.25,	49.27207,	0.00020393895248816416,	6.204181e-08,	1.5978512177678763e-10,	2.577971e-10,	2.797955164483951e-12
49.5,	49.51332,	0.00030723766966851256,	6.235405e-08,	1.2978286942425748e-10,	2.551483e-10,	1.133498238389047e-12
49.75,	49.75552,	0.0005873401192775619,	6.236243e-08,	1.9128202135423592e-10,	2.530691e-10,	3.263441750510052e-12
50.0,	50.01455,	0.00030644198864618127,	6.250996e-08,	1.4632009575294139e-10,	2.488726e-10,	2.5025867205472576e-12
51.0,	51.01731,	0.0005120906337523136,	6.308843e-08,	1.8959727291272238e-10,	2.744884e-10,	3.0369392592390914e-12
52.0,	52.01973,	0.00036194531859693943,	6.431134e-08,	1.839349816450282e-10,	2.907947e-10,	2.5667735366555035e-12
53.0,	53.02438,	0.0009068195799899614,	6.453921e-08,	8.822234490216741e-11,	3.181363e-10,	3.207457150731615e-12
54.0,	54.02525,	0.00039453496372872485,	6.559061e-08,	1.3628531873189163e-10,	3.363608e-10,	3.927919729714186e-12
55.0,	55.00702,	0.000618615776969449,	6.611403e-08,	9.414167091079693e-11,	3.614183e-10,	3.20685300528716e-12
60.0,	60.01787,	0.001332407752211758,	6.735588e-08,	4.951165109249211e-08,	6.41767e-10,	1.973098372852623e-11
61.0,	61.02232,	0.00033647825137415454,	6.956984e-08,	1.2278107381089036e-10,	6.277998e-10,	1.3323517496192157e-11
62.0,	62.02332,	0.0003141453466572118,	7.035591e-08,	1.7192198389575469e-10,	6.214647e-10,	1.2125065701987317e-11
63.0,	63.02598,	0.00031942127889312324,	7.09895e-08,	1.6900814742315338e-10,	6.196819e-10,	1.2072983352712737e-11
64.0,	64.00941,	0.00014005750436352348,	7.149873e-08,	9.682306235817143e-11,	6.165993e-10,	1.2628115550959065e-11
65.0,	65.01155,	0.0001417773162240827,	7.227737e-08,	1.0247316086590565e-10,	6.232574e-10,	1.1688989540383486e-11
66.0,	66.0166,	0.0007881662038881899,	7.295083e-08,	1.454734274914051e-10,	6.196036e-10,	1.0916335153300307e-11
67.0,	67.01625,	0.00026999539983985505,	7.343183e-08,	1.3597318499177265e-10,	6.229073e-10,	1.1796315407821345e-11
68.0,	68.01844,	0.00040980114310509413,	7.454228e-08,	2.004914839626746e-10,	6.280744e-10,	1.2721583086079407e-11
69.0,	69.02132,	0.000627482995526917,	7.49845e-08,	2.0589612608840923e-10,	6.415949e-10,	1.0892657979145199e-11
70.0,	70.02368,	0.0004439472508314239,	7.559761e-08,	8.875636588427156e-11,	6.39399e-10,	1.142984900805125e-11
71.0,	71.02718,	0.0005010785120793511,	7.636184e-08,	1.409554476561551e-10,	6.451243e-10,	1.1067319937199174e-11
72.0,	72.02748,	0.00024162648421534292,	7.723676e-08,	7.217272166518563e-11,	6.458312e-10,	1.2184461005591962e-11
73.0,	73.01237,	0.00027122598248759437,	7.806111e-08,	1.8413682104587483e-10,	6.51566e-10,	1.088581151054329e-11
74.0,	74.01411,	0.00024355421344394494,	7.878118e-08,	8.73267216583064e-11,	6.643658e-10,	1.2505533866359701e-11
75.0,	75.01687,	0.00026498883711806054,	7.999383e-08,	1.692825168704446e-10,	6.638067e-10,	1.1170906150018062e-11
76.0,	76.01855,	0.00026363724294521516,	8.057474e-08,	1.9850036532178749e-10,	6.79628e-10,	1.2671413255621967e-11
77.0,	77.02009,	0.00039852349065949894,	8.139398e-08,	1.8286161539542553e-10,	6.804309e-10,	1.260796598831973e-11
