Measurement done: 2025-07-22 22:04:15.954739
Voltage SourceMeter: Keithley 2410
Pad Currentmeter:    Keithley 6487

Comments: 
Enter comments here

Number of points for median: 5
Hardware compliance: 5E-6
Software compliance used: False, value: 25μA
Set voltage (V), 	 Measured voltage (V), 	 σ_voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
71.0,	71.02873,	0.000541317305451703,	7.725247e-08,	7.881913391276311e-11,	3.418615e-10,	1.9937891254163704e-12
73.0,	73.01466,	0.0003930739333687576,	7.876507e-08,	1.601491891224913e-10,	3.579853e-10,	2.2798424382154647e-12
75.0,	75.01884,	0.0004056513685450655,	8.052208e-08,	1.0844168866580204e-10,	3.703502e-10,	2.468513252567892e-12
77.0,	77.02268,	0.0002833963122442975,	8.214536e-08,	8.331883445567843e-11,	3.816059e-10,	4.786652587335147e-12
79.0,	79.02587,	0.00020619316715126155,	8.450224e-08,	1.1700552137073e-10,	3.930055e-10,	6.061055040764134e-12
81.0,	81.02972,	0.0003076113956367561,	8.62818e-08,	4.0741334369853824e-11,	4.019198e-10,	4.234832318768349e-12
83.0,	83.01318,	0.0002738279355008771,	8.862317e-08,	1.2905663577130874e-10,	4.101974e-10,	2.5421076760543683e-12
85.0,	85.0183,	0.00018158787539841268,	9.085593e-08,	1.4255640737985692e-10,	4.318051e-10,	5.524250474761859e-12
87.0,	87.02061,	0.0003027792331453826,	9.344311e-08,	8.862208745785051e-11,	4.353997e-10,	4.3805572466761505e-12
89.0,	89.02385,	0.0003625944772802905,	9.635864e-08,	1.6864067001800644e-10,	4.482576e-10,	3.5916186059648398e-12
90.0,	90.02713,	0.00043778841261333867,	9.778811e-08,	1.756337575894737e-10,	3.217734e-10,	5.1333190576180726e-12
90.25,	90.26665,	0.00033147391913133435,	9.852655e-08,	6.698142268910208e-11,	2.892795e-10,	3.926764904052568e-12
90.5,	90.52744,	0.0002713252466165574,	9.825988e-08,	7.348656191887389e-11,	2.765038e-10,	5.149566554645283e-13
90.75,	90.76816,	0.0002972019835878841,	9.893841e-08,	1.2937311714573653e-10,	2.706909e-10,	3.0237224177008465e-12
91.0,	91.00896,	0.00015686538451402558,	9.923353e-08,	1.3133109008082575e-10,	2.628038e-10,	4.485717572169384e-12
91.25,	91.26739,	0.00026375978259871963,	9.985173e-08,	1.471188571003776e-10,	2.591888e-10,	2.4833662316908447e-12
91.5,	91.50923,	0.00042723124086808354,	9.985709e-08,	1.0993711391688386e-10,	2.595175e-10,	1.858888920314415e-12
