Voltage [V],Capacitance [F],Conductivity [S],Bias Voltage [V],Pad Current [A],InverseCSquare,Ascending,Descending,Is Coarse
0.0,5.9399e-12,1.226797e-06,0.0,-1.39131e-07,2.834273347628764e+22,True,False,True
10.0,7.2558e-12,9.085391e-07,10.0,3.152548e-06,1.8994566810065084e+22,True,False,True
20.0,7.6071e-12,7.668061e-07,20.0,4.361351e-06,1.7280716654047243e+22,True,False,True
30.0,6.9739e-12,4.698051e-07,30.0,6.135142e-06,2.0561205263359063e+22,True,False,True
35.0,6.4286e-12,3.584791e-07,35.0,7.388408e-06,2.4197315776468214e+22,True,False,True
40.0,6.0284e-12,2.957041e-07,40.0,8.88139e-06,2.75166701380964e+22,True,False,True
45.0,5.5915e-12,2.551961e-07,45.0,1.063142e-05,3.198477806030376e+22,True,False,True
50.0,5.0476e-12,2.157561e-07,50.0,1.250922e-05,3.9249139223987755e+22,True,False,True
55.0,4.4995e-12,1.660361e-07,55.0,1.435982e-05,4.939369181554305e+22,True,False,True
65.0,4.0747e-12,8.435538e-08,65.0,1.771258e-05,6.022942560276716e+22,True,False,True
65.0,4.0741e-12,8.459428e-08,65.0,1.772267e-05,6.024716709973104e+22,False,True,True
55.0,4.484e-12,1.654941e-07,55.0,1.412449e-05,4.973576383390324e+22,False,True,True
50.0,5.0481e-12,2.161631e-07,50.0,1.238011e-05,3.924136457699859e+22,False,True,True
45.0,5.5908e-12,2.550891e-07,45.0,1.046935e-05,3.199278791444949e+22,False,True,True
40.0,6.0252e-12,2.949671e-07,40.0,8.742199e-06,2.7545906255445688e+22,False,True,True
35.0,6.4244e-12,3.576151e-07,35.0,7.243822e-06,2.4228964474100577e+22,False,True,True
30.0,6.9653e-12,4.685181e-07,30.0,5.990406e-06,2.0612010118372284e+22,False,True,True
20.0,7.5869e-12,7.566981e-07,20.0,4.110958e-06,1.7372858417796373e+22,False,True,True
10.0,7.2116e-12,8.985301e-07,10.0,2.896419e-06,1.9228116283193066e+22,False,True,True
0.0,6.2213e-12,1.209517e-06,0.0,-2.616499e-07,2.583673981295827e+22,False,True,True
0.0,5.9481e-12,1.230017e-06,0.0,-1.396607e-07,2.8264641240112543e+22,True,False,False
1.0,6.8352e-12,1.128277e-06,1.0,1.216381e-06,2.1404128354304315e+22,True,False,False
2.0,6.9975e-12,1.083727e-06,2.0,1.634845e-06,2.042274833774784e+22,True,False,False
3.0,7.0547e-12,1.043287e-06,3.0,1.928289e-06,2.0092912807520783e+22,True,False,False
4.0,7.0952e-12,1.014177e-06,4.0,2.165332e-06,1.9864183397532043e+22,True,False,False
5.0,7.1393e-12,9.917631e-07,5.0,2.368529e-06,1.96195361923241e+22,True,False,False
6.0,7.1396e-12,9.668021e-07,6.0,2.544478e-06,1.9617887434074835e+22,True,False,False
7.0,7.159e-12,9.478021e-07,7.0,2.708026e-06,1.951170742444467e+22,True,False,False
8.0,7.1699e-12,9.275711e-07,8.0,2.85858e-06,1.9452427392656853e+22,True,False,False
9.0,7.1827e-12,9.096401e-07,9.0,3.002621e-06,1.938315839571885e+22,True,False,False
10.0,7.2016e-12,8.931961e-07,10.0,3.139846e-06,1.928155292553665e+22,True,False,False
11.0,7.2127e-12,8.769241e-07,11.0,3.263537e-06,1.922225181771952e+22,True,False,False
12.0,7.2354e-12,8.614881e-07,12.0,3.389721e-06,1.9101827063856583e+22,True,False,False
13.0,7.2572e-12,8.453961e-07,13.0,3.517224e-06,1.898723896226154e+22,True,False,False
