tag1,tag2,gainLayerDepletionVoltage,fullDepletionVoltage
allData,allData,31.11654231587152,66.29118079377893
ascending,ascending,31.103197170859737,66.14067291626097
descending,descending,31.12976212644397,66.43735825169637
