Measurement done: 2024-08-27 15:10:30.605851
Sourcemeter: Keithley 6487
Currentmeter: Keithley 6487

Comments: 
Enter comments here

Number of points for median: 5
Hardware compliance: 25E-6
Software compliance used: False, value: 100μA
Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
BEGIN
1.0,	2.432463e-10,	9.948966452842445e-11,	2.813025e-12,	2.1899380194805993e-10
2.0,	3.639669e-10,	1.0257884624086909e-10,	2.085794e-12,	5.702645776273143e-12
3.0,	5.95014e-10,	1.1154520528092616e-10,	3.762531e-12,	3.346486785391066e-11
4.0,	3.871425e-10,	9.767405246994052e-11,	3.740384e-12,	9.995499023106088e-11
5.0,	4.403937e-10,	1.2057474034854672e-10,	4.837472e-12,	9.931769785190865e-12
6.0,	4.689532e-10,	1.125231362983417e-10,	5.671386e-12,	3.1310510194393574e-12
7.0,	4.539871e-10,	1.1651710504020825e-10,	6.464278e-12,	1.1204299279232547e-10
8.0,	5.012329e-10,	1.2770619873908638e-10,	8.00008e-12,	1.2665737357951241e-11
9.0,	6.926215e-10,	1.010771152337391e-10,	9.647627e-12,	7.604256799242966e-11
10.0,	8.246901e-10,	8.53765708213762e-11,	1.200005e-11,	4.222987493846145e-11
11.0,	8.838477e-10,	6.740411584190797e-11,	1.456731e-11,	1.0482694872089004e-11
12.0,	9.078968e-10,	7.915594355510807e-11,	1.686779e-11,	3.212585561396635e-11
13.0,	7.373928e-10,	7.66426713454232e-11,	2.032777e-11,	1.0774106862772314e-10
14.0,	8.024532e-10,	7.848904712085758e-11,	2.510652e-11,	3.4714273888408515e-11
15.0,	8.506927e-10,	8.242968368189284e-11,	2.684245e-11,	7.180580784946714e-11
16.0,	9.017406e-10,	3.877421342705157e-11,	3.100112e-11,	8.539969109712198e-12
17.0,	9.418148e-10,	8.590055847370431e-11,	3.594753e-11,	9.497781946285526e-11
18.0,	1.058694e-09,	8.49121221023857e-11,	4.098679e-11,	8.758565991153507e-12
19.0,	1.065678e-09,	9.238996542544317e-11,	4.735351e-11,	7.9540257631506e-11
20.0,	1.388951e-09,	8.427990457995887e-11,	5.356776e-11,	5.602292843819159e-12
21.0,	1.233888e-09,	7.619458301729968e-11,	6.026626e-11,	5.462700227655599e-11
22.0,	1.305665e-09,	8.284508482053265e-11,	6.860887e-11,	6.629304063618199e-12
23.0,	1.670904e-09,	8.256230272532033e-11,	7.737452e-11,	6.515441723052121e-12
24.0,	1.819947e-09,	6.731171246726522e-11,	8.695294e-11,	2.2234659579677014e-12
25.0,	1.585531e-09,	7.840836573834002e-11,	9.762888e-11,	1.1614634909351898e-12
26.0,	1.826555e-09,	8.685506235062197e-11,	1.097812e-10,	7.707144290780715e-11
27.0,	1.876544e-09,	9.66678810114713e-11,	1.237516e-10,	1.3628689573308564e-11
28.0,	2.01092e-09,	1.1407620297143911e-10,	1.389751e-10,	1.1853647890896372e-11
29.0,	2.11418e-09,	9.719883017749041e-11,	1.56781e-10,	8.340038803365016e-14
30.0,	2.751702e-09,	1.1581701323024814e-10,	1.783541e-10,	8.857920835493117e-12
31.0,	2.527348e-09,	1.0977359316036473e-10,	2.023394e-10,	1.854434493421518e-11
32.0,	2.94806e-09,	8.491353564278524e-11,	2.301846e-10,	2.7873587088709827e-11
33.0,	3.007942e-09,	1.1532575547432765e-10,	2.628548e-10,	3.4819936868160126e-11
34.0,	3.760491e-09,	1.1756556626829306e-10,	3.018827e-10,	2.3097606771000555e-11
35.0,	4.107082e-09,	1.1923618364664795e-10,	3.480299e-10,	2.098585792404632e-11
36.0,	4.105317e-09,	1.0744204914348588e-10,	4.019644e-10,	1.9970358022207615e-11
37.0,	4.890309e-09,	9.952549924195716e-11,	4.670914e-10,	1.1484062986361402e-11
38.0,	5.654993e-09,	1.2857986159869482e-10,	5.458375e-10,	1.721291935711637e-11
39.0,	5.867691e-09,	9.475665903014547e-11,	6.390731e-10,	1.5765912112747816e-11
40.0,	6.681594e-09,	1.1645474126373233e-10,	7.517881e-10,	1.5889636799122213e-11
41.0,	7.655169e-09,	1.2559229342278633e-10,	8.876502e-10,	1.351095027036025e-11
42.0,	8.843455e-09,	1.0496830552490246e-10,	1.051088e-09,	4.0466577178947444e-11
43.0,	1.024148e-08,	1.1983597436786137e-10,	1.250156e-09,	1.0673745407161774e-11
44.0,	1.199075e-08,	9.223915883098393e-11,	1.491221e-09,	1.3205815495026942e-11
45.0,	1.406219e-08,	9.270180354201527e-11,	1.783988e-09,	1.4273585576496618e-11
46.0,	1.657466e-08,	9.501483191285128e-11,	2.137282e-09,	8.070198966552366e-13
47.0,	1.946461e-08,	2.0961247649873138e-10,	2.545298e-09,	1.638543702209959e-11
48.0,	2.156967e-08,	1.184180363669604e-10,	2.76582e-09,	1.8793981750352444e-13
49.0,	2.246572e-08,	9.907953359343861e-11,	2.805858e-09,	2.53836644445866e-13
50.0,	2.284107e-08,	4.4984185364969177e-10,	2.833517e-09,	1.6083922472590257e-13
END
